X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
126.614052613183,37.4179467927982,"2","0","0","0",0.00000000000000,269.80575951259357
126.614023909696,37.4179466954891,"2","1","0","1",0.00002870365164,269.80575951259357
126.613995206209,37.41794659818,"2","2","0","2",0.00005740730327,269.80575951259357
126.613966502723,37.4179465008709,"2","3","0","3",0.00008611095491,269.80575951259357
126.613937799236,37.4179464035618,"2","4","0","4",0.00011481460655,269.80575951259357
126.613909095749,37.4179463062527,"2","5","0","5",0.00014351825819,269.80575950550201
126.613880392263,37.4179462089436,"2","6","0","6",0.00017222190982,269.80575950550201
126.613851688776,37.4179461116345,"2","7","0","7",0.00020092556146,269.80575951259357
126.613822985289,37.4179460143254,"2","8","0","8",0.00022962921310,269.80575951259357
126.613794281802,37.4179459170163,"2","9","0","9",0.00025833286473,269.80575951259357
126.613765578316,37.4179458197072,"2","10","0","10",0.00028703651637,269.80575951259357
126.613736874829,37.4179457223981,"2","11","0","11",0.00031574016801,269.80575951259357
126.613708171342,37.417945625089,"2","12","0","12",0.00034444381965,269.80575951259357
126.613679467856,37.4179455277799,"2","13","0","13",0.00037314747128,269.80575951259357
126.613650764369,37.4179454304708,"2","14","0","14",0.00040185112292,269.80575951259357
126.613622060882,37.4179453331617,"2","15","0","15",0.00043055477456,269.80575951259357
126.613593357396,37.4179452358526,"2","16","0","16",0.00045925842619,269.80575951259357
126.613564653909,37.4179451385435,"2","17","0","17",0.00048796207783,269.80575950550201
126.613535950422,37.4179450412344,"2","18","0","18",0.00051666572947,269.80575950550201
126.613507246936,37.4179449439253,"2","19","0","19",0.00054536938111,269.80575951259357
126.613478543449,37.4179448466162,"2","20","0","20",0.00057407303274,269.80575951259357
126.613449839962,37.4179447493071,"2","21","0","21",0.00060277668438,269.80575951259357
126.613421136476,37.417944651998,"2","22","0","22",0.00063148033602,269.80575951259357
126.613392432989,37.4179445546889,"2","23","0","23",0.00066018398766,269.80575951259357
126.613363729502,37.4179444573798,"2","24","0","24",0.00068888763929,269.80575951259357
126.613335026015,37.4179443600707,"2","25","0","25",0.00071759129093,269.80575951259357
126.613306322529,37.4179442627616,"2","26","0","26",0.00074629494257,269.80575951259357
126.613277619042,37.4179441654525,"2","27","0","27",0.00077499859420,269.80575951259357
126.613248915555,37.4179440681434,"2","28","0","28",0.00080370224584,269.80575951259357
126.613220212069,37.4179439708343,"2","29","0","29",0.00083240589748,269.80575950550201
126.613191508582,37.4179438735252,"2","30","0","30",0.00086110954912,269.80575950550201
126.613162805095,37.4179437762161,"2","31","0","31",0.00088981320075,269.80575951259357
126.613134101609,37.417943678907,"2","32","0","32",0.00091851685239,269.80575951259357
126.613105398122,37.4179435815979,"2","33","0","33",0.00094722050403,269.80575951259357
126.613076694635,37.4179434842888,"2","34","0","34",0.00097592415566,269.80575951259357
126.613047991149,37.4179433869797,"2","35","0","35",0.00100462780730,269.80575951259357
126.613019287662,37.4179432896706,"2","36","0","36",0.00103333145894,269.80575951259357
126.612990584175,37.4179431923615,"2","37","0","37",0.00106203511058,269.80575951259357
126.612961880688,37.4179430950525,"2","38","0","38",0.00109073876221,269.80575951259357
126.612933177202,37.4179429977434,"2","39","0","39",0.00111944241385,269.80575951259357
126.612904473715,37.4179429004343,"2","40","0","40",0.00114814606549,269.80575951259357
126.612875770228,37.4179428031252,"2","41","0","41",0.00117684971712,269.80575950550201
126.612847066742,37.4179427058161,"2","42","0","42",0.00120555336876,269.80575950550201
126.612818363255,37.417942608507,"2","43","0","43",0.00123425702040,269.80575951259357
126.612789659768,37.4179425111979,"2","44","0","44",0.00126296067204,269.80575951259357
126.612760956282,37.4179424138888,"2","45","0","45",0.00129166432367,269.80575951259357
126.612732252795,37.4179423165797,"2","46","0","46",0.00132036797531,269.80575951259357
126.612703549308,37.4179422192706,"2","47","0","47",0.00134907162695,269.80575951259357
126.612674845822,37.4179421219615,"2","48","0","48",0.00137777527858,269.80575951259357
126.612646142335,37.4179420246524,"2","49","0","49",0.00140647893022,269.80575951259357
126.612617438848,37.4179419273433,"2","50","0","50",0.00143518258186,269.80575951254548
126.612588735361,37.4179418300342,"2","51","0","51",0.00146388623348,269.80575951254548
126.612560031875,37.4179417327251,"2","52","0","52",0.00149258988512,269.80575951259357
126.612531328388,37.417941635416,"2","53","0","53",0.00152129353676,269.80575950550201
126.612502624901,37.4179415381069,"2","54","0","54",0.00154999718839,269.80575950550201
126.612473921415,37.4179414407978,"2","55","0","55",0.00157870084003,269.80575951259357
126.612445217928,37.4179413434887,"2","56","0","56",0.00160740449167,269.80575951259357
126.612416514441,37.4179412461796,"2","57","0","57",0.00163610814331,269.80575951259357
126.612387810955,37.4179411488705,"2","58","0","58",0.00166481179494,269.80575951259357
126.612359107468,37.4179410515614,"2","59","0","59",0.00169351544658,269.80575951259357
126.612330403981,37.4179409542523,"2","60","0","60",0.00172221909822,269.80575951259357
126.612301700495,37.4179408569432,"2","61","0","61",0.00175092274985,269.80575951259357
126.612272997008,37.4179407596341,"2","62","0","62",0.00177962640149,269.80575951259357
126.612244293521,37.417940662325,"2","63","0","63",0.00180833005313,269.80575951259357
126.612215590034,37.4179405650159,"2","64","0","64",0.00183703370477,269.80575951259357
126.612186886548,37.4179404677068,"2","65","0","65",0.00186573735640,269.80575950550201
126.612158183061,37.4179403703977,"2","66","0","66",0.00189444100804,269.80575950550201
126.612129479574,37.4179402730886,"2","67","0","67",0.00192314465968,269.80575951259357
126.612100776088,37.4179401757795,"2","68","0","68",0.00195184831131,269.80575951259357
