speed,throttle,accel
0.1025821482632633,50,1.904573962277276
0.293039544490991,50,2.338308622113043
0.570243872685872,50,2.896578521014168
0.8723552486938246,50,3.099519691607041
1.19014781100728,50,3.22499621813119
1.517354492320063,50,3.194447659134857
1.829037342834252,50,3.090322146798774
2.135418921679817,50,3.058160345997647
2.440669412033781,50,3.029892617436176
2.741397445167053,50,2.977148083864305
3.036099028806642,50,2.979471813362495
3.337291807839552,50,2.990835321627654
3.634266093132173,50,2.970153433826095
3.931322494604771,50,2.940243222776779
4.222314737687529,50,2.914353526798774
4.514193199964526,50,2.893461244916891
4.801006986670907,50,2.874202894204743
5.089033778805474,50,2.860164727561143
5.373039932183135,50,2.849501772278544
5.658934133261183,50,2.828808727476715
5.938801677678478,50,2.808587085496943
6.220651550360571,50,2.813997119339362
6.501601101546351,50,2.807268696074425
6.782105289575457,50,2.786790662018124
7.058959233949976,50,2.775803977441433
7.337266085063743,50,2.763918235454352
7.611742881040846,50,2.732048012222328
7.883675687508209,50,2.764662245571201
8.164675330155086,50,2.771120326364001
8.437899752781009,50,2.694101661786039
8.703495662512294,50,2.684609718914874
8.974821696563984,50,2.705383833125312
9.244572429137357,50,2.697062290436625
9.514234154651309,50,2.692678347447126
9.783108098626782,50,2.677386390991749
10.04971143284966,50,2.660707346978777
10.31524956802254,50,2.661263023775255
10.58196403760471,50,2.643390758860393
10.84392771979462,50,2.647944063815046
11.11155285036772,50,2.593340323764792
11.36259578454757,50,2.579421233450523
11.62743709705782,50,2.624226673824346
11.88744111931244,50,2.58274618994963
12.14398633504775,50,2.559963985327469
12.39943391637794,50,2.557635191566279
12.65551337336101,50,2.578603399025976
12.91515459618313,50,2.564631313444465
13.1684396360499,50,2.532850398667659
