speed,throttle,accel
13.40002627712432,60,-2.617247775526312
13.13830149957169,60,-2.565823041881181
12.88686166874808,60,-2.484118436761866
12.64147781221931,60,-2.550455772134832
12.37677051432112,60,-2.625486465783231
12.11638051906267,60,-2.615769608721008
11.85361659257691,60,-2.642840611993718
11.58781239666392,60,-2.67903733573899
11.31780912542912,60,-2.647017406852834
11.05840891529336,60,-2.624506362131873
10.79290785300274,60,-2.654313659970633
10.52754618329923,60,-2.661232620806473
10.26066132884145,60,-2.671586284688425
9.993228926361546,60,-2.669533177582766
9.726754693324894,60,-2.655445284806621
9.462139869400222,60,-2.654940166079891
9.195766660108916,60,-2.656267291623804
8.93088641107546,60,-2.693003285002398
8.657166003108436,60,-2.684223131563375
8.394041784762786,60,-2.656193801891309
8.125927242730175,60,-2.692169834460847
7.855607817870617,60,-2.664290592574523
7.59306912421527,60,-2.630401787295327
7.329527460411551,60,-2.64111732969329
7.064845658276612,60,-2.653070513632043
6.798913357685143,60,-2.683008920162808
6.52824387424405,60,-2.697148565539154
6.259483644577312,60,-2.670276208506199
5.99418863254281,60,-2.6567497271476
5.728133699147792,60,-2.675502926259128
5.459088047290985,60,-2.690942243675294
5.189945250412733,60,-2.716436422982902
4.915800762694404,60,-2.709004244895374
4.648144401433658,60,-2.695872713889753
4.376626219916454,60,-2.712223197545591
4.10569976192454,60,-2.678574915298872
3.840911236856679,60,-2.654550705835668
3.574789620757406,60,-2.691397765014683
3.302631683853743,60,-2.69621018706848
3.03554758334371,60,-2.679731881345231
2.766685307584697,60,-2.682670334749244
2.499013516393862,60,-2.608815046837696
2.244922298217157,60,-2.487588809823333
2.001495754429195,60,-2.406206677194864
1.763680962778185,60,-2.320349219088023
1.53742591061159,60,-2.205679870413473
1.32254498869549,60,-2.087496539311161
1.119926602749358,60,-1.968769478672364
0.9287910929610174,60,-1.898902616210747
0.7401460795072085,60,-1.872932112870112
0.5542046703869951,60,-1.810764616811363
0.3779931561449359,60,-1.702667010047463
0.2136712683775025,60,-1.643218877674334
