X,Y,id,Unnamed: 3,e,n,u
126.64287390606,37.3888313716103,0,,0.0005366521503174654,-0.05864336564364098,-0.3689999984825254
126.643054407319,37.3889990578253,1,,15.985054837255976,18.55203785345177,-0.3690470685324172
126.643142749325,37.3891315708342,2,,23.808251446101174,33.25902212255247,-0.3691313580094846
126.643959094898,37.389932102098,4,,96.09962115174321,122.10656662931478,-0.3708954332779797
126.643703884659,37.3896490804863,3,,73.49971077724467,90.69515987282753,-0.370069741946331
126.644229846786,37.3902592947126,5,,120.07557938431403,158.42037852509338,-0.37210223384597896
126.644889957886,37.3913894725355,6,,178.52889735096045,283.8543257399874,-0.3778308878917471
126.639144455574,37.394918790205,7,,-330.23971679349137,675.560785691234,-0.4134236959349096
126.636143008656,37.3969531102863,8,,-595.999649949989,901.3549358931105,-0.4606932956343144
126.635882072546,37.3970634014634,9,,-619.1038296609814,913.5973064160153,-0.46463845269215653
126.634568939519,37.3977128788034,10,,-735.3711887060001,985.6891203224693,-0.48773469391460367
126.633811215956,37.3969671523026,11,,-802.4725439751022,902.930671896867,-0.4835245081816879
126.632775923991,37.3957265469723,12,,-894.1591710795017,765.2511414590334,-0.47764502862838754
126.634633832721,37.3926798384094,13,,-729.6739420938385,427.0956984965111,-0.4250293860216914
126.638813991033,37.3866044168772,16,,-359.5418283921549,-247.20958001713575,-0.3839265601558992
126.640112127732,37.3863175780184,17,,-244.58096033889595,-279.0485525534965,-0.37980634192953744
126.640565289503,37.3867421104359,18,,-204.44806236784672,-231.93289081022508,-0.37650237196712055
126.6427465736,37.3887112646547,20,,-11.275594130045386,-13.388714034771077,-0.36902404906232267
126.64247500373,37.3885094958757,19,,-35.3249953930721,-35.781967417588895,-0.36919837489719143
126.638642623901,37.3867947339147,15,,-374.7169978445724,-226.08657192848662,-0.38401288411742485
126.638511474195,37.3869280649051,14,,-386.3307824762486,-211.288299205008,-0.38419599457314746
