time,lat,lon,enu_x,enu_y,yaw,r_x,r_y,init_lat,init_lon,init_yaw,2wheel_x,2wheel_y,bicycle_x,bicycle_y,pulse_L,pulse_R,avg_tire_ang
1676537023.3324351,37.451182881359955,126.65477903266196,-0.008757248846805522,0.006780128666293857,-476.06424718549096,0.009937927139283063,0.004888471772515161,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.3608894,37.451182881463474,126.654779032518,-0.008769987440928977,0.006791618568198024,-476.0644663574386,0.009953845052331163,0.004894867839291127,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4091575,37.451182881545215,126.65477903220712,-0.008797494936639835,0.006800690668383188,-476.0647831474729,0.009974078946818139,0.004915593544006346,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4151804,37.451182881545215,126.65477903220712,-0.008797494936639835,0.006800690668383188,-476.0647831474729,0.009974078946818139,0.004915593544006346,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4160233,37.451182881545215,126.65477903220712,-0.008797494936639835,0.006800690668383188,-476.0647831474729,0.009974078946818139,0.004915593544006346,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4171438,37.451182881457505,126.65477903196532,-0.008797494936639835,0.006800690668383188,-476.0651809327718,0.009974078946818139,0.004915593544006346,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.418144,37.451182881457505,126.65477903196532,-0.008797494936639835,0.006800690668383188,-476.0651809327718,0.009974078946818139,0.004915593544006346,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4399624,37.451182881457505,126.65477903196532,-0.008818890205337514,0.006790955476084324,-476.0651809327718,0.009974732391268589,0.004939090448102246,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4409897,37.451182881457505,126.65477903196532,-0.008818890205337514,0.006790955476084324,-476.0651809327718,0.009974732391268589,0.004939090448102246,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4418204,37.451182881457505,126.65477903196532,-0.008818890205337514,0.006790955476084324,-476.0651809327718,0.009974732391268589,0.004939090448102246,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4426591,37.451182881457505,126.65477903196532,-0.008818890205337514,0.006790955476084324,-476.0651809327718,0.009974732391268589,0.004939090448102246,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4490254,37.45118288151003,126.6547790313933,-0.00884097420452306,0.006805210572799987,-476.06497639631914,0.009997239833033175,0.004952667114394594,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.4654195,37.45118288151003,126.6547790313933,-0.008869504024541683,0.006796785010492359,-476.06497639631914,0.01000220398431369,0.004981997950259923,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.569427,37.45118288157975,126.65477903074456,-0.008926905722826797,0.006804523132598627,-476.0656152844816,0.01003437205851136,0.005030164832058104,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.5756028,37.451182881713564,126.65477903045361,-0.008952650089357283,0.006819375054829382,-476.065121899701,0.01005902365466492,0.0050467675670462404,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.5817254,37.451182881713564,126.65477903045361,-0.008952650089357283,0.006819375054829382,-476.065121899701,0.01005902365466492,0.0050467675670462404,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.6091664,37.45118288161351,126.65477902935278,-0.008977660897041613,0.006808998330193318,-476.0659991756178,0.010060689093914792,0.005073794280262986,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.6099596,37.45118288161351,126.65477902935278,-0.008977660897041613,0.006808998330193318,-476.0659991756178,0.010060689093914792,0.005073794280262986,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.6110926,37.45118288161351,126.65477902935278,-0.008977660897041613,0.006808998330193318,-476.0659991756178,0.010060689093914792,0.005073794280262986,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
1676537023.65367,37.451182881124595,126.65477902871949,-0.00910608997426132,0.006754007531948545,-476.0658459008963,0.010067707647432946,0.005213324763217843,37.45118282027008,126.65477913163295,-476.05927482663634,0.0,0.0,0.0,0.0,0.0,0.0,-0.2235294117647059
