time,lat,lon,enu_x,enu_y,yaw,r_x,r_y,init_lat,init_lon,init_yaw,2wheel_x,2wheel_y,bicycle_x,bicycle_y,pulse_L,pulse_R,avg_tire_ang
1676537146.8543897,37.44781707283727,126.65334858848063,0.014879866895104434,-0.009147538508837538,-15.463595390005082,0.011903374236667177,-0.012782706339759928,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.042562,37.44781706657123,126.65334859270901,0.015254023688050204,-0.009842980417706336,-15.463675499401077,0.01207863169742908,-0.013552717753159646,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.100202,37.4478170659194,126.65334859327237,0.015303874031766536,-0.009915324982343071,-15.463157753277045,0.012107395852678208,-0.013635732307148204,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.1121325,37.447817064257094,126.65334859462183,0.015423284262310806,-0.010099817988618079,-15.463772822876166,0.01217331132622786,-0.013845378730608638,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.1489851,37.447817063302196,126.65334859536662,0.015489188014215756,-0.010205798427797537,-15.463978750508417,0.01220858280009604,-0.013965091224254815,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.2378652,37.44781705905348,126.65334860007654,0.015905954552731118,-0.010677347137369283,-15.463237289285644,0.012484585228424397,-0.014530666323319215,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.2699084,37.44781705861927,126.653348600827,0.015972360200322222,-0.01072553795100125,-15.463079936264563,0.012535743738372558,-0.01459481358678687,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.3403814,37.447817056352925,126.6533486039447,0.016175678145490816,-0.010933487689151297,-15.463012439251159,0.01267627927112528,-0.014849432997787213,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.3673759,37.447817055602606,126.65334860480768,0.016324598739632944,-0.011060345650990552,-15.462816929227742,0.012785999625022849,-0.015011395122317138,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.471255,37.44781705232998,126.6533486098042,0.01667039765064916,-0.01135618874730136,-15.462364020046437,0.013040434505268528,-0.015388705228475363,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.5084772,37.44781705078546,126.6533486119895,0.016861689684143942,-0.011529230738002804,-15.462423724252233,0.013178683521771534,-0.015606474331105742,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.5716062,37.44781704932623,126.65334861425136,0.01705916636855477,-0.011695736634428348,-15.462474180661943,0.013324635587152679,-0.01581959225395914,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.6291504,37.44781704805734,126.65334861655447,0.017364035698409226,-0.01189776498253463,-15.462408633248103,0.013564627035218872,-0.01609557208398218,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.7329004,37.44781704513478,126.65334862282101,0.01791854425858484,-0.012222128823361725,-15.462144166311518,0.014012619260215829,-0.016556000809070454,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.837515,37.44781704330458,126.65334862464472,0.0180799178357937,-0.012425255536041492,-15.461739491711981,0.014114013353961945,-0.016794791785823507,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.9060953,37.44781704245716,126.65334862521172,0.01813009028432768,-0.012519306529197484,-15.461828818495249,0.014137302311063804,-0.016898813362347952,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.954134,37.44781704183124,126.65334862563797,0.018167807458508916,-0.012588774181830489,-15.461857455030483,0.014155139045604916,-0.016975821095021153,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.960337,37.44781704183124,126.65334862563797,0.018167807458508916,-0.012588774181830489,-15.461857455030483,0.014155139045604916,-0.016975821095021153,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.972072,37.447817041198114,126.65334862609404,0.018208162878275196,-0.012659043396215952,-15.461049003751654,0.01417530493457889,-0.017054304592119283,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
1676537147.9882965,37.447817041198114,126.65334862609404,0.018208162878275196,-0.012659043396215952,-15.461049003751654,0.01417530493457889,-0.017054304592119283,37.44781715525788,126.65334842032172,-15.458531764860652,0.0,0.0,0.0,0.0,0.0,0.0,-0.09411764705882353
