time,lat,lon,enu_x,enu_y,yaw,r_x,r_y,init_lat,init_lon,init_yaw,2wheel_x,2wheel_y,bicycle_x,bicycle_y,pulse_L,pulse_R,avg_tire_ang
1676536349.1297753,37.45060502105345,126.65687642316351,0.06911534516257212,-0.009234253739777074,-565.0632132768278,-0.058708886704909174,0.03762271921249454,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.2901812,37.45060502190234,126.65687640409023,0.06742767183905968,-0.009140038370911123,-565.0651235800599,-0.0572197543960829,0.03682296753263649,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.3584805,37.45060502096209,126.6568763907772,0.06657082736586518,-0.009217406039992096,-565.0644939855526,-0.056410712780682125,0.03653035879727017,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.395329,37.45060502084055,126.65687638827407,0.0660282003027166,-0.009257882201335388,-565.0643639763977,-0.055901964943327234,0.03633733525651654,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.4895227,37.45060502018285,126.65687637837769,0.0651525321685682,-0.009330877811395598,-565.0640429000848,-0.0550777199912979,0.03603279741107664,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.5212934,37.45060502000853,126.6568763757677,0.06492159001528847,-0.009350224998274734,-565.0642547696714,-0.054860299220299495,0.03595256773988155,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.554234,37.45060501902027,126.65687636280315,0.064014501575202,-0.009437490364485459,-565.0640401186588,-0.05400154741122332,0.035647657896342846,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.6129186,37.45060501850463,126.656876356194,0.06318963794807475,-0.009517137273941158,-565.0642483290471,-0.05322051529163005,0.03537065164784472,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.7272453,37.4506050171647,126.65687633637694,0.06143615180304532,-0.0096658511105788,-565.063902927932,-0.051568925136608004,0.03476313257336896,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.7548158,37.450605016712466,126.65687632978769,0.06085311138051765,-0.009716042095658222,-565.0638572895014,-0.0510194509399976,0.03456180354778186,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.7557957,37.450605016712466,126.65687632978769,0.06085311138051765,-0.009716042095658222,-565.0638572895014,-0.0510194509399976,0.03456180354778186,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.7565775,37.450605016712466,126.65687632978769,0.06085311138051765,-0.009716042095658222,-565.0638572895014,-0.0510194509399976,0.03456180354778186,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.7573605,37.450605016712466,126.65687632978769,0.06085311138051765,-0.009716042095658222,-565.0638572895014,-0.0510194509399976,0.03456180354778186,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.8052816,37.45060501611032,126.65687632018184,0.06000314944511223,-0.009782872514667132,-565.0634795892788,-0.05022110525636413,0.03426256156214676,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.8060682,37.45060501611032,126.65687632018184,0.06000314944511223,-0.009782872514667132,-565.0634795892788,-0.05022110525636413,0.03426256156214676,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.8068273,37.45060501611032,126.65687632018184,0.06000314944511223,-0.009782872514667132,-565.0634795892788,-0.05022110525636413,0.03426256156214676,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.8077712,37.45060501611032,126.65687632018184,0.06000314944511223,-0.009782872514667132,-565.0634795892788,-0.05022110525636413,0.03426256156214676,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.834265,37.45060501585655,126.65687631615438,0.059646785874224055,-0.009811037741028674,-565.0632629550473,-0.04988632135542705,0.03413722994480492,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.835053,37.45060501585655,126.65687631615438,0.059646785874224055,-0.009811037741028674,-565.0632629550473,-0.04988632135542705,0.03413722994480492,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
1676536349.8357882,37.45060501585655,126.65687631615438,0.059646785874224055,-0.009811037741028674,-565.0632629550473,-0.04988632135542705,0.03413722994480492,37.45060510425534,126.65687564205493,-565.0431609434486,0.0,0.0,0.0,0.0,0.0,0.0,-0.10588235294117647
