lat,lon
37.3909660602973,126.645200603298
37.3909624178272,126.64519681489
37.3909416929202,126.645175298718
37.3909433246518,126.64517259212
37.3909594893366,126.645145707526
37.3909633533546,126.645139252584
37.3909794999099,126.645112334184
37.3909956464928,126.645085427064
37.3910116945013,126.645058701078
37.3910278859865,126.645031748554
37.3910314186463,126.645034972849
37.3910366714878,126.645025936653
37.3910380179181,126.645027240236
37.3910593255223,126.645047759906
37.3910561956225,126.645052641739
37.3910531473552,126.645057703867
37.3910369197561,126.64508463398
37.3910354580313,126.645086944544
37.39101878734,126.645113345985
37.3910159901316,126.645118000394
37.3909998164434,126.645144885057
37.390983651759,126.645171769666
37.3909823785659,126.645173853488
37.3909660602973,126.645200603298
