margined_safety_distance (x), current_s (y), target_v (z), CS.vEgo (w)
13.0, 51.18688184737677, 0.0, 2.8514318728412036e-07
13.0, 51.18688184737677, 0.0, -6.190623480506474e-08
13.0, 51.18677038260362, 0.0, 2.454466994095128e-07
13.0, 51.18688184737677, 0.0, 3.789816958033043e-07
13.0, 51.18677038260362, 0.0, 2.3758451561661786e-07
13.0, 51.18677038260362, 0.0, -4.510013695835369e-08
13.0, 51.18677038260362, 0.0, -4.510013695835369e-08
13.0, 51.18688184737677, 0.0, 3.523251734804944e-07
13.0, 51.18677038260362, 0.0, 3.097815692854056e-08
13.0, 51.18677038260362, 0.0, 3.2012729889174807e-07
13.0, 51.18677038260362, 0.0, 9.514010912425874e-08
13.0, 51.18677038260362, 0.0, 2.0429865799087565e-07
13.0, 51.18677038260362, 0.0, 2.628211746014131e-07
13.0, 51.18677038260362, 0.0, 3.609564487305761e-07
13.0, 51.18677038260362, 0.0, 2.391017517311411e-07
13.0, 51.18677038260362, 0.0, 4.5732912212770316e-07
13.0, 51.18677038260362, 0.0, 2.972188042349444e-07
13.0, 51.18688184737677, 0.0, 4.6859457825121353e-07
13.0, 51.18677038260362, 0.0, 3.551255645106721e-07
13.0, 51.18688184737677, 0.0, 3.527690921600879e-07
13.0, 51.18665891787885, 0.0, 7.82026887691245e-08
13.0, 51.18677038260362, 0.0, 9.251938593024533e-08
13.0, 51.18677038260362, 0.0, 5.31199724207454e-08
13.0, 51.18677038260362, 0.0, 3.089929805355496e-07
13.0, 51.18677038260362, 0.0, 4.069008525675599e-07
13.0, 51.18677038260362, 0.0, 8.588305888679315e-08
13.0, 51.18688184737677, 0.0, 7.303279403458873e-08
13.0, 51.18688184737677, 0.0, 4.0151456914827577e-07
13.0, 51.18688184737677, 0.0, 2.423831801934284e-07
13.0, 51.18677038260362, 0.0, 2.749007705915574e-07
13.0, 51.18677038260362, 0.0, 2.8026678933201765e-07
13.0, 51.18677038260362, 0.0, 1.6606573183253204e-07
13.0, 51.18677038260362, 0.0, 1.49093821733004e-07
13.0, 51.18677038260362, 0.0, 1.8368770327015227e-07
13.0, 51.18665891787885, 0.0, 5.1307846860026984e-08
13.0, 51.186776603501414, 0.0, 1.6014769244065974e-07
13.0, 51.18677038260362, 0.0, 3.4868892839767796e-07
13.0, 51.18677038260362, 0.0, -2.619925965063885e-08
13.0, 51.18688184737677, 0.0, 2.7690327897289535e-07
13.0, 51.18677038260362, 0.0, -5.431130034594389e-08
13.0, 51.18677038260362, 0.0, 1.1053676018946135e-07
13.0, 51.18677038260362, 0.0, 1.0760950885924103e-07
13.0, 51.18677038260362, 0.0, 1.7529700357954425e-07
13.0, 51.18688184737677, 0.0, 3.9894580083910114e-08
13.0, 51.18677038260362, 0.0, 1.5245464624058513e-07
13.0, 51.1866651387902, 0.0, 3.4849895769184513e-07
