timestamp,data,timestamps
1700544537.1927948,"[0.0030035247949099673, -0.0011779355009198514]"
1700544537.21194,"[0.0029097225022972537, -0.0009405188144281299]"
1700544537.2312806,"[0.0029269783462161827, -0.0009807962975910568]"
1700544537.2521007,"[0.002758503526727795, -0.0010526087547316812]"
1700544537.2721076,"[0.0027808342917592576, -0.0009696248965741218]"
1700544537.2919688,"[0.002637049289929657, -0.0009065502044263249]"
1700544537.3127267,"[0.0027146972847267923, -0.0010150339263963067]"
1700544537.331982,"[0.0029264461470214272, -0.0010788962280812412]"
1700544537.351444,"[0.0028096459114315218, -0.000979929109686848]"
1700544537.393698,"[0.002725521572210293, -0.0009735952140890671]"
1700544537.3937063,"[0.0026753519325650177, -0.0009063507302162874]"
1700544537.4376717,"[0.0027561794066767566, -0.0008547894115585177]"
1700544537.437677,"[0.002823836999458459, -0.000733020916137526]"
1700544537.4817333,"[0.00291179905395128, -0.000640621834085195]"
1700544537.4817402,"[0.003024649427662747, -0.0007045557321497061]"
1700544537.5256774,"[0.0031570464489152046, -0.0006945401572992735]"
1700544537.5256815,"[0.003213798494684225, -0.0006370664094900267]"
1700544537.5696864,"[0.0030385611377401704, -0.0005677729088868666]"
1700544537.5696948,"[0.0030076226068727506, -0.0006787657915612775]"
1700544537.6136634,"[0.002886238184062487, -0.0006152271184927666]"
1700544537.6136672,"[0.002828576626717873, -0.000542162470423309]"
1700544537.6136742,"[0.002696913893906601, -0.0006360289177144051]"
1700544537.6576645,"[0.002704481788497664, -0.0005344787427038821]"
1700544537.6576803,"[0.0027076619696442027, -0.0003532851668600232]"
1700544537.672098,"[0.002807569546802711, -0.0003224938009250577]"
1700544537.6935344,"[0.0028203715366707373, -4.839424323433309e-05]"
1700544537.7336674,"[0.002980426566589338, -6.280120970678449e-05]"
1700544537.7336714,"[0.002931445176326487, 8.715755778460482e-05]"
1700544537.7816744,"[0.0029054246815084167, 0.0003947951108004918]"
1700544537.7816806,"[0.003086806631740506, 0.00043839054675141355]"
1700544537.825686,"[0.002978987212746693, 0.0006071339860560061]"
1700544537.858482,"[0.0030013944290614982, 0.0005545462594794085]"
1700544537.9016745,"[0.0029989178949122223, 0.0003574295637378677]"
1700544537.9016857,"[0.0029388492742362556, 0.0002298056071710098]"
1700544537.9016943,"[0.0028895076940002365, 0.00033648959528588513]"
1700544537.901745,"[0.0028502145912366805, 0.00025727782345457876]"
1700544537.945675,"[0.002708966965874388, 0.00021846070852005477]"
1700544537.945685,"[0.002612927741411627, 0.0002372760752259943]"
1700544537.9521706,"[0.002513278101571347, 0.00014252205497523082]"
1700544537.9721382,"[0.0025450986266759455, 2.6793977344490585e-05]"
1700544538.0176692,"[0.0025426028281673903, -0.00017413089165987255]"
1700544538.0176773,"[0.002373374892386555, -0.0003429963467628352]"
1700544538.061674,"[0.0022833431389649695, -0.0004653891989890975]"
1700544538.0616794,"[0.002126868944362141, -0.0005635670708991151]"
1700544538.105672,"[0.001993443836582629, -0.0003971371322226616]"
1700544538.1056802,"[0.0020298497292519538, -0.0004669484837541505]"
1700544538.1496744,"[0.001955041399445184, -0.00022815828444103502]"
1700544538.1496832,"[0.001986139708770192, -9.112995814311356e-05]"
1700544538.193781,"[0.0018234126437242158, -4.711780739421512e-05]"
1700544538.1937902,"[0.0017970639924833405, 0.0001263197045662113]"
1700544538.1937947,"[0.0016404686954039857, 0.00022984163679172327]"
1700544538.2377086,"[0.0018462050147378711, 0.00047777319531916543]"
1700544538.2377145,"[0.0016437855397797342, 0.0005825797378134147]"
1700544538.252226,"[0.0017564039809900606, 0.0011389256769770556]"
