timestamp,data,timestamps
1700200280.3811183,"[371.03793731845735, 1134.6898603770237, 65.43007557829988]"
1700200280.4307604,"[371.0379336231695, 1134.6899372713592, 65.42960360892808]"
1700200280.4859164,"[371.0379294895517, 1134.689984727026, 65.42947588789978]"
1700200280.5360677,"[371.0379122351451, 1134.6900525863875, 65.42983050327231]"
1700200280.5861478,"[371.03789193216363, 1134.6900870869697, 65.4298938931755]"
1700200280.6364927,"[371.0378643703439, 1134.6901316568437, 65.43005511442873]"
1700200280.685974,"[371.0378540147967, 1134.6901644399236, 65.42992207258268]"
1700200280.7308173,"[371.0378467793169, 1134.6901992899493, 65.42976707852179]"
1700200280.7861316,"[371.0378455237495, 1134.6902135128078, 65.42953343701446]"
1700200280.8307028,"[371.0378509864674, 1134.6902317644365, 65.42904096351218]"
1700200280.8913295,"[371.03785555210794, 1134.6902653547318, 65.4287067050581]"
1700200280.9308271,"[371.0378596748006, 1134.690278916043, 65.42877952088978]"
1700200280.9809854,"[371.03786725315285, 1134.6902955588, 65.42896393207755]"
1700200281.0413346,"[371.0378873893544, 1134.690308727522, 65.4292970556658]"
1700200281.0860956,"[371.0379084191811, 1134.690321528446, 65.42887498014743]"
1700200281.1308062,"[371.0379493718975, 1134.6903265332585, 65.42837476047261]"
1700200281.1964738,"[371.0379755376156, 1134.6903039719298, 65.42923813934921]"
1700200281.2359493,"[371.03801312399867, 1134.6902654575822, 65.42951544331612]"
1700200281.2811,"[371.03803488235786, 1134.6902502965052, 65.42950749015694]"
1700200281.3308372,"[371.03808045523107, 1134.6902442351895, 65.4292188541091]"
1700200281.3810236,"[371.03808045523107, 1134.6902442351895, 65.4292188541091]"
1700200281.4312143,"[371.0381587427948, 1134.6903220186323, 65.42948917090384]"
1700200281.480797,"[371.03818244384024, 1134.6903304471793, 65.43000658715762]"
1700200281.5308738,"[371.03821004516595, 1134.6903311874883, 65.4303508011854]"
1700200281.581164,"[371.0382355052959, 1134.690330342886, 65.42984427635719]"
1700200281.6308415,"[371.03828771343456, 1134.6903203841002, 65.42995548134829]"
1700200281.6810634,"[371.0383274448124, 1134.6903174264153, 65.43042294217246]"
1700200281.7308097,"[371.03839256524304, 1134.6903035782725, 65.42999996020713]"
1700200281.7812972,"[371.0384378203849, 1134.6902742043515, 65.43002287084987]"
1700200281.8307679,"[371.0385070435391, 1134.6901981773758, 65.42962386253511]"
1700200281.8811383,"[371.0385617645221, 1134.6901445178692, 65.43021096993105]"
1700200281.9415915,"[371.0386595547302, 1134.690068233113, 65.43094835378668]"
1700200281.9864185,"[371.0387271307415, 1134.690027295437, 65.43087375542886]"
1700200282.0308475,"[371.0388805921995, 1134.6900908724674, 65.43193412865837]"
1700200282.0809984,"[371.03904353360576, 1134.6904228147253, 65.42993843052271]"
1700200282.1309347,"[371.0394152458967, 1134.6914608116251, 65.42321237376215]"
1700200282.1814814,"[371.0397592242575, 1134.6924343502315, 65.4191961751074]"
1700200282.23636,"[371.0405848111782, 1134.6942658529606, 65.41888291248812]"
1700200282.2808526,"[371.0414065233209, 1134.6958081672421, 65.42289567468768]"
1700200282.331126,"[371.04308235711943, 1134.6989245553489, 65.42793784884648]"
1700200282.381228,"[371.04308235711943, 1134.6989245553489, 65.42793784884648]"
1700200282.4416854,"[371.0471274023773, 1134.7072425108522, 65.42277269923258]"
1700200282.481251,"[371.04933317953294, 1134.7120012185596, 65.4194827135463]"
1700200282.5308104,"[371.0535007204146, 1134.7209092160133, 65.41885414987124]"
1700200282.5811486,"[371.0569169253207, 1134.728127965937, 65.42103407810562]"
1700200282.6310558,"[371.0629576041125, 1134.740916012288, 65.42361651580319]"
1700200282.6912735,"[371.06754509546863, 1134.7507220221578, 65.42288767369418]"
1700200282.7308438,"[371.07523692022585, 1134.767276006509, 65.42061752324236]"
1700200282.78647,"[371.0839656813499, 1134.785951470416, 65.4200377588205]"
1700200282.8308887,"[371.0903688024419, 1134.7995442016922, 65.42138758036414]"
1700200282.8861556,"[371.10078652666846, 1134.8216852236478, 65.4243901030978]"
1700200282.9417367,"[371.10825402099397, 1134.8376230298566, 65.42632300675128]"
1700200282.9862206,"[371.1202317775497, 1134.8632530234843, 65.42721919813725]"
1700200283.03113,"[371.12875475868424, 1134.8814993398623, 65.42832586990696]"
1700200283.0864296,"[371.13770457885545, 1134.9006588653303, 65.42946535130608]"
1700200283.1310995,"[371.15195033002215, 1134.9311231817614, 65.43223552905131]"
1700200283.1811132,"[371.16197420614236, 1134.9525549633513, 65.43395776324012]"
1700200283.23085,"[371.17777541877047, 1134.9863575060072, 65.43623547770338]"
1700200283.291498,"[371.1887894428996, 1135.0099750324648, 65.43802933197708]"
1700200283.3414123,"[371.2060637148913, 1135.0469753152279, 65.44141671696475]"
1700200283.3812501,"[371.2060637148913, 1135.0469753152279, 65.44141671696475]"
1700200283.4359708,"[371.23672489557777, 1135.1127670700027, 65.44951370359296]"
1700200283.4808211,"[371.2496240243128, 1135.1404799690517, 65.45386576527751]"
1700200283.536033,"[371.2696510390872, 1135.1834769323489, 65.4593052180709]"
1700200283.5911922,"[371.29046447700995, 1135.2281065202687, 65.46467686038766]"
1700200283.6412697,"[371.30471337406817, 1135.2587742136047, 65.46747494092943]"
1700200283.6809433,"[371.31921831919897, 1135.290173841826, 65.4703332668674]"
1700200283.7465653,"[371.3415098480014, 1135.3386102378083, 65.47432648919975]"
1700200283.7811007,"[371.3645206522869, 1135.3885804276094, 65.47738925025526]"
1700200283.8311172,"[371.3802774749299, 1135.4227260739822, 65.48032898082968]"
1700200283.886262,"[371.3963663696126, 1135.4575122234523, 65.4837426837665]"
1700200283.9309332,"[371.4211769862129, 1135.5108373093926, 65.49211245695798]"
1700200283.9810722,"[371.44680755174346, 1135.5655119714575, 65.50204607084777]"
1700200284.0308287,"[371.4642160428587, 1135.6027291018506, 65.50589746909547]"
1700200284.081098,"[371.48182267829475, 1135.6405734173904, 65.50685661117119]"
1700200284.1361866,"[371.5086298890434, 1135.6985128429392, 65.5066578189102]"
1700200284.1861517,"[371.535985725112, 1135.7577777616723, 65.50807004887082]"
1700200284.230982,"[371.55457181965465, 1135.7980249184602, 65.51204489231391]"
1700200284.2810178,"[371.58295918911335, 1135.859451646255, 65.51883015348521]"
1700200284.3359497,"[371.60223144417535, 1135.9011042903487, 65.52257207166977]"
1700200284.3914616,"[371.60223144417535, 1135.9011042903487, 65.52257207166977]"
1700200284.4308803,"[371.65153342986594, 1136.0077650411122, 65.51887543792726]"
1700200284.4808102,"[371.6817763080393, 1136.0733280022725, 65.5162865924544]"
1700200284.5307708,"[371.70222574522404, 1136.1176222234149, 65.51836492274045]"
