timestamp,data,timestamps
1700200280.2766802,"[-0.0037687425317580554, -0.0011631553578118348]"
1700200280.296562,"[-0.0038559616128391273, -0.0011971132924293835]"
1700200280.321934,"[-0.003925704359801565, -0.0011542573594202686]"
1700200280.3853748,"[-0.003938396130144158, -0.0011401349416056829]"
1700200280.394879,"[-0.003925740378084726, -0.0011935866220503923]"
1700200280.403185,"[-0.0039941084775162936, -0.0010366939726020351]"
1700200280.412671,"[-0.0037948165085802867, -0.0009989687681387302]"
1700200280.4214768,"[-0.003711146773010199, -0.0009895082535181035]"
1700200280.4375255,"[-0.003779020395909618, -0.0007591662402123324]"
1700200280.4812987,"[-0.003815064514279296, -0.0007957394414808545]"
1700200280.4813042,"[-0.0038380789837327263, -0.0006949877655383391]"
1700200280.525298,"[-0.003946769257950444, -0.0006715138132015409]"
1700200280.5253036,"[-0.0040412767479732084, -0.0006187510340907523]"
1700200280.5693247,"[-0.004009687736573417, -0.0004599146944803083]"
1700200280.5693285,"[-0.0037781466884521868, -0.0004883283417694687]"
1700200280.613299,"[-0.0038251187397233886, -0.0004370410339946551]"
1700200280.6133065,"[-0.003676163714696078, -0.0005091345598217268]"
1700200280.6573408,"[-0.0036690021272408643, -0.0007156482124042339]"
1700200280.6573496,"[-0.0035763765653958647, -0.0006318947198420076]"
1700200280.6573536,"[-0.0036067439738220654, -0.0008176173904116368]"
1700200280.7013001,"[-0.0037656401497956965, -0.0009365902468461758]"
1700200280.7013056,"[-0.0037503042778225994, -0.0009476421389187203]"
1700200280.719163,"[-0.003752646807714589, -0.0010232554016290267]"
1700200280.7367122,"[-0.003651721344085214, -0.001094285310632589]"
1700200280.7772963,"[-0.003474000960078266, -0.0010082337259373025]"
1700200280.7773,"[-0.0033926482414655167, -0.0011352789398391887]"
1700200280.821295,"[-0.0032589491541012536, -0.0010259597579707332]"
1700200280.821303,"[-0.0031911874413734463, -0.0010774410016480137]"
1700200280.8692966,"[-0.003258284143685661, -0.0009930283985049055]"
1700200280.8693063,"[-0.003200056166425471, -0.0009850224959597673]"
1700200280.9133408,"[-0.003198319002218097, -0.0010646055542703366]"
1700200280.9133496,"[-0.003127938127529937, -0.0010650423945775958]"
1700200280.9573123,"[-0.003069948635752189, -0.0009823338575861954]"
1700200280.9573252,"[-0.0027847116707215747, -0.0010563387994661773]"
1700200281.0013347,"[-0.0028359888195926605, -0.001113474553527653]"
1700200281.0013413,"[-0.002737182762703314, -0.0011472023325714961]"
1700200281.0013514,"[-0.002604949593485174, -0.0012458454187291666]"
1700200281.0453167,"[-0.002713716698957377, -0.0012165523118660762]"
1700200281.0453212,"[-0.0024968203269412218, -0.0013305480426399536]"
1700200281.0565033,"[-0.0024920831897489327, -0.0013785922425676017]"
1700200281.0774786,"[-0.0025722998413035573, -0.001502477286100345]"
1700200281.1212976,"[-0.0027472372447900784, -0.0016435455796215154]"
1700200281.1213057,"[-0.0029660636102732643, -0.0016611797342617725]"
1700200281.1692982,"[-0.003097635248839117, -0.0017531182856242809]"
1700200281.1693063,"[-0.002995257389502962, -0.001747639633751543]"
1700200281.217291,"[-0.0028785652580517844, -0.0017024651113820616]"
1700200281.2173004,"[-0.0026925969894086, -0.001593903908561906]"
1700200281.261335,"[-0.0027007443526018923, -0.001557279742343987]"
1700200281.261345,"[-0.002589023473290562, -0.001500586516236482]"
1700200281.261362,"[-0.0025292663745443726, -0.0013896073086979907]"
1700200281.3093045,"[-0.0023944913485106248, -0.0014623006939110518]"
1700200281.309314,"[-0.0021431222822475143, -0.0016063111839841522]"
1700200281.3216565,"[-0.002005558069534062, -0.0018277644876610486]"
1700200281.3842702,"[-0.002082408862451003, -0.0019000954431504867]"
1700200281.4252925,"[-0.002106131804792695, -0.0021389647418732457]"
1700200281.4253035,"[-0.0022852129721447007, -0.002257440086560551]"
1700200281.4253101,"[-0.002548179877425217, -0.002301202795644346]"
1700200281.4253151,"[-0.002644136738284784, -0.002241800957967113]"
1700200281.4733002,"[-0.002853335557889415, -0.002198326242096315]"
