timestamp,data,timestamps
1700542810.1149116,"[377.50730673372874, 1148.8047761694675, 62.169819863439244]"
1700542810.1594467,"[377.5072463249651, 1148.8047917627753, 62.16945777929159]"
1700542810.2247856,"[377.5071978083206, 1148.8048082769594, 62.16938059046184]"
1700542810.2700562,"[377.50715039083036, 1148.8048196240375, 62.16984186934941]"
1700542810.3095343,"[377.5070858912286, 1148.8048411667573, 62.17076550494466]"
1700542810.3806984,"[377.507018447481, 1148.8048640635598, 62.16999476108646]"
1700542810.4249911,"[377.50698634291814, 1148.8048980666279, 62.169882065354855]"
1700542810.4650183,"[377.5069708695064, 1148.8049223262387, 62.16988870625303]"
1700542810.514774,"[377.5069379187513, 1148.8049585985495, 62.16968372666442]"
1700542810.5647297,"[377.5069455782059, 1148.8049801549387, 62.16980613085484]"
1700542810.6145205,"[377.5069068721698, 1148.805024806445, 62.17030261401407]"
1700542810.6596286,"[377.5068875013687, 1148.8050578036637, 62.17064618270186]"
1700542810.7095058,"[377.5068549475091, 1148.8051113437937, 62.1713686999464]"
1700542810.759578,"[377.5068475378103, 1148.805148087509, 62.17160036508255]"
1700542810.8197732,"[377.50686081068176, 1148.805167412491, 62.171549142185896]"
1700542810.8699214,"[377.5067345023045, 1148.8051650376253, 62.17131718454287]"
1700542810.9094958,"[377.5066502576997, 1148.8051566592503, 62.171743196596886]"
1700542810.972075,"[377.5065846216612, 1148.8051439335918, 62.17101039017754]"
1700542811.014604,"[377.50652654969963, 1148.8051185602055, 62.171073587712726]"
1700542811.0646098,"[377.50648607373364, 1148.8050957876308, 62.17078902978136]"
1700542811.1094894,"[377.5064230872464, 1148.8050636102002, 62.17074671713098]"
1700542811.1752746,"[377.5063923010718, 1148.805046331961, 62.17007219001246]"
1700542811.2144983,"[377.50636588914944, 1148.8050274701177, 62.17050148031853]"
1700542811.2721872,"[377.5063557953505, 1148.8050085863063, 62.170785542139576]"
1700542811.3147898,"[377.50636141437406, 1148.804982184826, 62.17094490316458]"
1700542811.359488,"[377.5063426939729, 1148.804960878051, 62.17135115225196]"
1700542811.4095254,"[377.50635074906955, 1148.8049347297701, 62.17107945273668]"
1700542811.480226,"[377.50636266128663, 1148.8049160684072, 62.17127032861633]"
1700542811.5146406,"[377.506383284394, 1148.8048861782108, 62.17129626114844]"
1700542811.5696936,"[377.5064260962672, 1148.8048667259163, 62.1706937518649]"
1700542811.6147811,"[377.50645934091494, 1148.8048282974657, 62.17090510998449]"
1700542811.6699378,"[377.50649200690555, 1148.8047975925888, 62.17016032688628]"
1700542811.7197852,"[377.5065566570746, 1148.8047510515614, 62.17051500699826]"
1700542811.7646222,"[377.506616790571, 1148.8047250148225, 62.170557019636135]"
1700542811.8145745,"[377.5066566242431, 1148.804714762317, 62.17058402097454]"
1700542811.864791,"[377.5065777163995, 1148.8047181130921, 62.17015058723224]"
1700542811.9145691,"[377.50652312602233, 1148.8047247494533, 62.17063343691646]"
1700542811.9595106,"[377.5064844985032, 1148.804725119765, 62.17052546244118]"
1700542812.01977,"[377.50642366914303, 1148.8047236594905, 62.169848422032494]"
1700542812.0647614,"[377.506389319955, 1148.8047209520823, 62.16891457860593]"
1700542812.1095335,"[377.506337532349, 1148.804714771879, 62.169067849647796]"
1700542812.1595488,"[377.50634007980375, 1148.8047074177257, 62.169222595358946]"
1700542812.2147992,"[377.50632419946163, 1148.8046909338427, 62.16896495487077]"
1700542812.2698233,"[377.50632419166584, 1148.804672270605, 62.168642278404434]"
1700542812.3197527,"[377.5063223145015, 1148.8046423321719, 62.16795490448892]"
1700542812.35954,"[377.5062983765321, 1148.8046196362698, 62.168078339210325]"
1700542812.4198132,"[377.5062966337968, 1148.804572511781, 62.16805386234255]"
1700542812.4648612,"[377.50629576167574, 1148.8045380631681, 62.16825331825833]"
1700542812.519774,"[377.50630509935, 1148.8044871055852, 62.168273981408014]"
1700542812.5700586,"[377.50634316657766, 1148.8044532290571, 62.16815545932657]"
1700542812.6145878,"[377.5063769532916, 1148.8043973557114, 62.16791870667619]"
1700542812.6647482,"[377.5064087369939, 1148.8043618837064, 62.16814410010797]"
1700542812.7146146,"[377.50646990970506, 1148.8043169914054, 62.16806074879339]"
1700542812.7648156,"[377.50648530375815, 1148.8042892417247, 62.16880665480187]"
1700542812.8145714,"[377.5065108104211, 1148.8042726768606, 62.16864456750755]"
1700542812.8646846,"[377.50641867845826, 1148.8042850117554, 62.168352449646626]"
1700542812.909522,"[377.5063508404006, 1148.8042934576986, 62.16878568749691]"
1700542812.9697354,"[377.50628141260506, 1148.8043067747235, 62.168888854339016]"
1700542813.0148363,"[377.5062186046581, 1148.8043161546016, 62.16881429062386]"
1700542813.0647013,"[377.5061843267647, 1148.8043314270963, 62.169655550441064]"
1700542813.1095333,"[377.5061247534953, 1148.8043571697035, 62.16975031317489]"
1700542813.1594994,"[377.5061071924743, 1148.8043631861863, 62.16982568307761]"
1700542813.2197657,"[377.50604792183617, 1148.8043782094303, 62.169955327938254]"
1700542813.2595882,"[377.50602017670803, 1148.8043882378197, 62.17020454114475]"
1700542813.3250065,"[377.5059747302591, 1148.804408958413, 62.16986986837084]"
1700542813.3596444,"[377.50596273838516, 1148.80442502199, 62.170116388389744]"
1700542813.4146886,"[377.5059595560163, 1148.8044433423483, 62.170810144360374]"
1700542813.4700205,"[377.50596225836756, 1148.8044542602343, 62.17121977262781]"
1700542813.5146067,"[377.5059946580492, 1148.8044689230182, 62.17169225056162]"
1700542813.564819,"[377.5060129928925, 1148.8044802488039, 62.171155753557]"
1700542813.6198497,"[377.506032990317, 1148.8045039260933, 62.17085081260764]"
1700542813.6647222,"[377.5060485817978, 1148.8045202868016, 62.17097329883889]"
1700542813.7147472,"[377.50607215103093, 1148.8045472959107, 62.17082978064918]"
1700542813.7851562,"[377.5060993154425, 1148.8045627649951, 62.17126101513074]"
1700542813.8095834,"[377.50612473996637, 1148.8045648334, 62.17091361981816]"
1700542813.8706462,"[377.5060602307801, 1148.8045858425287, 62.17104167511286]"
1700542813.9147105,"[377.5060326507215, 1148.8045858597545, 62.17128570064182]"
1700542813.969853,"[377.50599708916315, 1148.8045861888843, 62.17108353184187]"
1700542814.014825,"[377.50596740054493, 1148.804579945579, 62.17099638906519]"
1700542814.0699904,"[377.50594501255586, 1148.8045832568246, 62.17093718962657]"
1700542814.1198208,"[377.50590526005476, 1148.804597486483, 62.17076153754125]"
1700542814.1649346,"[377.50588983927554, 1148.8046059841085, 62.170808350425204]"
1700542814.2146757,"[377.5058361568358, 1148.8046220814967, 62.17149176419412]"
1700542814.264689,"[377.505808415712, 1148.8046315855986, 62.17115248338369]"
1700542814.314697,"[377.5057642960822, 1148.8046543553312, 62.17086522417661]"
1700542814.3646433,"[377.50574288134374, 1148.8046688500876, 62.17124519918408]"
1700542814.409567,"[377.50571565453305, 1148.8046861086957, 62.17113902152818]"
1700542814.464551,"[377.5056895973473, 1148.804696826071, 62.17176263322862]"
1700542814.5096066,"[377.50564817603095, 1148.8047224956604, 62.17265869142044]"
1700542814.564674,"[377.50561366142273, 1148.8047469301155, 62.17239392110096]"
1700542814.6196969,"[377.5055656671012, 1148.8047830115684, 62.172297676020534]"
1700542814.6649847,"[377.5055412330703, 1148.8048090008006, 62.17335355850845]"
1700542814.7146182,"[377.50548801202876, 1148.8048452054427, 62.17323758547913]"
1700542814.7700508,"[377.50545594237957, 1148.8048688953743, 62.17322472887024]"
1700542814.814671,"[377.5054473309617, 1148.804879329155, 62.17266118380118]"
1700542814.8646154,"[377.50539879307786, 1148.8048980378844, 62.17307695650291]"
1700542814.9145825,"[377.50533414957874, 1148.8049141618505, 62.17331163570318]"
1700542814.972245,"[377.5052830453876, 1148.8049202225766, 62.17408822625905]"
1700542815.0145884,"[377.50521126998535, 1148.8049208690409, 62.17424666027509]"
1700542815.0646615,"[377.5051663824615, 1148.8049155679673, 62.17403073986233]"
1700542815.1145737,"[377.50510541525955, 1148.8049057998824, 62.17401445452218]"
1700542815.1699638,"[377.50507869719536, 1148.8049037531964, 62.1742300584779]"
1700542815.2146745,"[377.50501267220227, 1148.804905585218, 62.17440123091201]"
1700542815.2647257,"[377.5049636205271, 1148.804909922911, 62.1742938699157]"
1700542815.314569,"[377.50488700215135, 1148.8049094283772, 62.174645006209815]"
1700542815.3596177,"[377.50484321845533, 1148.804907256418, 62.17483638607795]"
1700542815.4300447,"[377.50478230927627, 1148.8049050136528, 62.17573558735516]"
1700542815.4699342,"[377.5047286909281, 1148.8049034201467, 62.175901813550375]"
1700542815.5146875,"[377.5046573196804, 1148.804905329768, 62.17626540018965]"
1700542815.565161,"[377.50460797247024, 1148.8049092540627, 62.17586815437878]"
1700542815.6146867,"[377.5045452228354, 1148.8049166987823, 62.17623561712411]"
1700542815.6597664,"[377.5044925273037, 1148.8049198600502, 62.17700323075981]"
1700542815.7147255,"[377.5044068826992, 1148.8049260384955, 62.17708304971418]"
1700542815.7649353,"[377.5043609874724, 1148.8049297579466, 62.17780431894231]"
1700542815.819993,"[377.5043323890257, 1148.8049322997263, 62.17795327991739]"
1700542815.8646724,"[377.50432224909224, 1148.8049298972244, 62.17744534014871]"
1700542815.914649,"[377.5043692607038, 1148.8049111198018, 62.177896725075186]"
1700542815.9647048,"[377.5043918628061, 1148.8049034320488, 62.17811619609165]"
