timestamp,data,timestamps
1700199873.8408253,"[0.3109519463881939, -0.1704375538728063]"
1700199873.8519254,"[0.3150127335420852, -0.1907598125985579]"
1700199873.8614857,"[0.3240060371352266, -0.19462618826053005]"
1700199873.8735938,"[0.31882646790413777, -0.18446501341528276]"
1700199873.8806593,"[0.30858250849996727, -0.20496729655092172]"
1700199873.8909054,"[0.3005974246548991, -0.1908655459319936]"
1700199873.8993614,"[0.2973872225063984, -0.17441279025955692]"
1700199873.9136178,"[0.2863475799355944, -0.1887300203085119]"
1700199873.9207032,"[0.27469422000770116, -0.18775223664191742]"
1700199873.9309242,"[0.2722007028677049, -0.18065588046610026]"
1700199873.9392252,"[0.27645569739984244, -0.19560684123555688]"
1700199873.9521909,"[0.278050573411182, -0.20473509154218572]"
1700199873.961867,"[0.2779453596063784, -0.20862985017898586]"
1700199873.9708366,"[0.2841358871633411, -0.20832131023205888]"
1700199873.9791603,"[0.2922172962547897, -0.21331747807493048]"
1700199873.9934986,"[0.28818209803344946, -0.1841631105491676]"
1700199874.0007067,"[0.2934861471286576, -0.20065514137651844]"
1700199874.0110762,"[0.29155068147599966, -0.22961802950864071]"
1700199874.0191696,"[0.29073746121414784, -0.22946407821656015]"
1700199874.0334218,"[0.2958678934036704, -0.20352322645133378]"
1700199874.0405574,"[0.3059168591693871, -0.21158419538154233]"
1700199874.051679,"[0.3087366099561458, -0.21155220319040094]"
1700199874.0611725,"[0.3061127791921152, -0.2013646779911043]"
1700199874.0735388,"[0.2954442692632505, -0.2031639939830255]"
1700199874.0805678,"[0.31503430273694094, -0.1861313157485836]"
1700199874.0907373,"[0.32207391069386626, -0.1965892681616026]"
1700199874.0991907,"[0.31379501043743857, -0.20153693606486625]"
1700199874.1135905,"[0.3102384557392371, -0.16820368197006055]"
1700199874.1206236,"[0.32404082630204667, -0.15458679876568485]"
1700199874.130832,"[0.32732846668620474, -0.14386294243455944]"
1700199874.1391118,"[0.3331039032145335, -0.14394356132873104]"
1700199874.1520524,"[0.3229711681983167, -0.13966494251997763]"
1700199874.1618302,"[0.31206122085644805, -0.11112871058455853]"
1700199874.170839,"[0.3212141775748072, -0.11746580164243442]"
1700199874.1791296,"[0.3261111682387727, -0.11779839600157205]"
1700199874.1935818,"[0.31420645810903336, -0.12459504071577043]"
1700199874.2006326,"[0.29848723018230533, -0.11862849455613417]"
1700199874.2110436,"[0.2995159195233547, -0.10838727175715109]"
1700199874.2192886,"[0.29850973156990174, -0.10294583861599371]"
1700199874.2337162,"[0.3048805244737978, -0.11033292306882776]"
1700199874.2407844,"[0.3228073584845949, -0.11478978146302361]"
1700199874.2521272,"[0.3108662938716883, -0.12169254062052338]"
1700199874.2615638,"[0.29385404981813734, -0.10856551207090977]"
1700199874.2734668,"[0.2916272623143581, -0.11876023746152581]"
1700199874.2805536,"[0.31819589251975944, -0.1314191392896137]"
1700199874.290787,"[0.31447346906792156, -0.128650640446154]"
1700199874.2991445,"[0.29803754634694696, -0.1249830242892941]"
1700199874.3136537,"[0.29302757821001396, -0.15676645609088194]"
1700199874.3207242,"[0.2893538276718722, -0.1821645663375795]"
1700199874.3311706,"[0.2837242225402117, -0.1767033993048967]"
1700199874.3392048,"[0.2817972891772937, -0.17938151190131418]"
1700199874.3614357,"[0.2779359134404028, -0.2017470476982888]"
1700199874.40191,"[0.2719339895973167, -0.20070492514025406]"
1700199874.4170828,"[0.28000883734685544, -0.21627630693296668]"
1700199874.4198482,"[0.2868373222447121, -0.2370010812708331]"
1700199874.4266202,"[0.2598606692542073, -0.23672297636247364]"
1700199874.4294016,"[0.2853805407279753, -0.24026064293432026]"
1700199874.4348972,"[0.29790760656271686, -0.267673221955035]"
1700199874.4375842,"[0.26596117206264225, -0.28667533762885145]"
1700199874.443083,"[0.23853285652769846, -0.26601498503534643]"
1700199874.447159,"[0.24708144143661823, -0.23198410557199392]"
1700199874.4520686,"[0.26170050902405917, -0.2500425459609659]"
1700199874.4616299,"[0.27080272991111454, -0.27787530206524924]"
1700199874.4733632,"[0.2624911607561372, -0.2612025856483043]"
1700199874.480611,"[0.24589799359268927, -0.2074884211295281]"
1700199874.4907207,"[0.2240868746226676, -0.19857561752419314]"
1700199874.499176,"[0.22931886518121053, -0.20974739115527682]"
1700199874.5133445,"[0.24817284567817322, -0.1936062971242563]"
1700199874.5205698,"[0.25867834423903147, -0.1618616290354017]"
1700199874.5307922,"[0.26223357936745434, -0.16080717928102164]"
1700199874.539186,"[0.24521818042251234, -0.15553730393811982]"
1700199874.552046,"[0.21248631100295978, -0.15326740020292243]"
