velocity_timestamp,velocity_x,velocity_y,acceleration_timestamp,acceleration_x,acceleration_y,jerk_timestamp,jerk_x,jerk_y,roll_timestamp,roll,pitch_timestamp,pitch,vehicle_timestamp,vehicle_x,vehicle_y,vehicle_heading,mode_timestamp,mode,cte_timestamp,cte,headingerror_timestamp,headingerror
0.0,-0.00027631597442604806,0.007196313491920637,0.0,0.0025178800757303913,-0.024639569250113912,0.0,-0.5078989918079106,0.8162177651705738,0.0,-0.3600429821936152,0.0,-1.153571617093093,0.0,536.9838521231364,1778.7234767748273,-87.85477009214617,0.0,0,0.0,11.121981274603682,0.0,1.6735156845485335
0.020057201385498047,-0.00031884935286324514,0.007268772109963109,0.008214473724365234,-0.0016542428471072843,-0.01793476986476012,0.012869596481323242,0.5899975145719017,-0.22027846664277279,0.020070314407348633,-0.3600315180208787,0.020070314407348633,-1.1534219284565388,0.06631588935852051,536.9835480959566,1778.7235355974549,-87.85504801162375,0.10009098052978516,0,0.06631588935852051,11.121681821942833,0.06631588935852051,1.673793604026116
0.04000997543334961,-0.0003029017484658906,0.007428343067754995,0.021084070205688477,0.005938787090416721,-0.02076966484397723,0.02237248420715332,-0.059385511589414595,0.4156254528268142,0.0399937629699707,-0.3590989387089205,0.0399937629699707,-1.1534902818494288,0.1105349063873291,536.9833713539574,1778.723567798153,-87.85515461664545,0.2003765106201172,0,0.1105349063873291,11.121507606864625,0.1105349063873291,1.6739002090478152
0.061372995376586914,-0.00027427681801836794,0.007618619886139734,0.030586957931518555,0.005374453241241533,-0.016820022829766728,0.03164029121398926,-0.2608966206754149,0.5163415538511543,0.06135678291320801,-0.35968615755456207,0.06135678291320801,-1.1529637525681986,0.150162935256958,536.983109391011,1778.7236493126693,-87.85502544255826,0.30017805099487305,0,0.150162935256958,11.121251631776227,0.150162935256958,1.6737710349606232
0.08068203926086426,-0.0005428434096931576,0.008197990947834565,0.03985476493835449,0.0029565137120861054,-0.012034668959064444,0.04015660285949707,-0.33846509169215444,-0.6551549059214916,0.08068299293518066,-0.35958280728161324,0.08068299293518066,-1.15289451342611,0.21042823791503906,536.9828869325438,1778.7237358576692,-87.8544249617809,0.4000992774963379,0,0.21042823791503906,11.121035407939276,0.21042823791503906,1.6731705541832582
0.09982585906982422,-0.0005286554331563414,0.008496736111782166,0.048371076583862305,7.403951011034088e-05,-0.017614172313975218,0.05439043045043945,-0.012483330990168476,0.38250467020418016,0.09980916976928711,-0.35978798670612855,0.09980916976928711,-1.152535761427344,0.26096487045288086,536.9825126535105,1778.7238596378972,-87.85401420577924,0.5000677108764648,0,0.26096487045288086,11.120670169653764,0.26096487045288086,1.6727597981816018
0.12016105651855469,-0.0005270380857091342,0.008796328828483135,0.06260490417480469,-0.00010364607096438526,-0.012169666785558642,0.06118345260620117,0.5371569511939248,1.5891202016204593,0.12014389038085938,-0.35964356136498027,0.12014389038085938,-1.1529883428499033,0.30041074752807617,536.9823230232167,1778.7238968965034,-87.85443719991238,0.6001105308532715,0,0.30041074752807617,11.120483430399904,0.30041074752807617,1.6731827923147478
0.14005041122436523,-0.00041687391000845895,0.009119148564513261,0.0693979263305664,0.0035452729996173623,-0.001374738047782332,0.07179856300354004,-0.5385762804725406,0.36955240901273373,0.14006376266479492,-0.3599374706715274,0.14006376266479492,-1.1537032281493227,0.35501694679260254,536.9821021957472,1778.7238990413234,-87.85562488470887,0.700697660446167,0,0.35501694679260254,11.120263232211332,0.35501694679260254,1.674370477111239
0.16106319427490234,-0.00021534938830203518,0.009313280173634806,0.08001303672790527,-0.002171773674986797,0.0025481015714903634,0.07937502861022949,-0.06685042505546487,0.6859084354195262,0.1610562801361084,-0.3600157189777054,0.1610562801361084,-1.1536054011117516,0.40509772300720215,536.9819143273015,1778.7239162934848,-87.85504841095542,0.8003056049346924,0,0.40509772300720215,11.120076923066188,0.40509772300720215,1.6737940033577843
0.20473170280456543,-1.7868264943781272e-05,0.009340197847830157,0.08758950233459473,-0.0026782636212120976,0.007744863241784577,0.09431719779968262,0.2624334937533894,0.014089859686335438,0.18008041381835938,-0.3597670246719072,0.18008041381835938,-1.1529832766192574,0.455000638961792,536.9815877404164,1778.7240211047774,-87.8533950172062,0.9004034996032715,0,0.455000638961792,11.11975801277367,0.455000638961792,1.6721406096085616
0.2047421932220459,6.107947434501601e-05,0.009222565270802669,0.10253167152404785,0.0012430620434303367,0.007955396309073456,0.10155606269836426,-0.18023915040584312,0.2720741817010309,0.2001650333404541,-0.36071424941091196,0.2001650333404541,-1.1536319032859286,0.5052614212036133,536.9814214036411,1778.7241170792033,-87.85335803369597,1.0002539157867432,0,0.5052614212036133,11.119598412723382,0.5052614212036133,1.672103626098334
0.25275683403015137,4.327677146817874e-05,0.008938020913218367,0.10977053642272949,-6.166481581072184e-05,0.00992490455282658,0.11311531066894531,0.11868368749955938,0.1420137940048332,0.21991491317749023,-0.3610338331355595,0.21991491317749023,-1.1530698938526376,0.5562183856964111,536.9812548247756,1778.7242362758334,-87.85504962230192,1.1002421379089355,0,0.5562183856964111,11.119440112405579,0.5562183856964111,1.6737952147042847
0.25276708602905273,-9.261845659756674e-05,0.008705278897199294,0.12132978439331055,0.001310229358059636,0.011566477212971464,0.12264466285705566,-0.46445340991416056,1.1292381925670538,0.24009394645690918,-0.3616757280047613,0.24009394645690918,-1.153340207112631,0.5998756885528564,536.9811003425899,1778.7242691260776,-87.8559482230703,1.2002630233764648,0,0.5998756885528564,11.11928815116902,0.5998756885528564,1.674693815472665
