timestamp,data,timestamps
1700195402.2510898,"[377.7968126727339, 1149.254690012289, 63.27802850276994]"
1700195402.2910333,"[377.7968717750119, 1149.2546081154437, 63.27775138191317]"
1700195402.34097,"[377.796916746701, 1149.2545493900334, 63.27771866898023]"
1700195402.3860269,"[377.79698795559545, 1149.254455187056, 63.27731907102352]"
1700195402.446371,"[377.7970413777589, 1149.254394176101, 63.27783545754555]"
1700195402.4910345,"[377.79712108193513, 1149.254301438819, 63.2777725537245]"
1700195402.541007,"[377.79717671523684, 1149.254237199007, 63.278002673986784]"
1700195402.5910618,"[377.7972638819297, 1149.2541393840938, 63.27807099401715]"
1700195402.6409693,"[377.7973183091287, 1149.2540743046166, 63.27811940921828]"
1700195402.6910226,"[377.797400799424, 1149.253979057199, 63.2778801295871]"
1700195402.7409668,"[377.79745687302284, 1149.253912836046, 63.27802736052148]"
1700195402.7986815,"[377.7974906211712, 1149.253875432732, 63.27793089600755]"
1700195402.8514497,"[377.7974644844626, 1149.2538590136633, 63.27784797842659]"
1700195402.901169,"[377.79744438164096, 1149.2538465968091, 63.27801874998478]"
1700195402.941121,"[377.79743161900694, 1149.253841743764, 63.27896236167952]"
1700195402.9910343,"[377.7974120063449, 1149.2538357100893, 63.279838403788375]"
1700195403.0467312,"[377.7973960717264, 1149.253830934309, 63.279590392638866]"
1700195403.0910351,"[377.7973809834423, 1149.2538188566048, 63.28045451989203]"
1700195403.1461425,"[377.79737497227956, 1149.2538060182387, 63.280703001572135]"
1700195403.1859565,"[377.79737258051136, 1149.2537801503238, 63.28015879656613]"
1700195403.2463975,"[377.79736836572965, 1149.2537644703573, 63.28031628882904]"
1700195403.2910118,"[377.797346879951, 1149.2537457846895, 63.28044412812868]"
1700195403.341114,"[377.7973363138814, 1149.2537362605372, 63.27958111903213]"
1700195403.3861082,"[377.7973315395838, 1149.253718895593, 63.27933564717319]"
1700195403.4463685,"[377.79732790776944, 1149.2537013290093, 63.280057201055314]"
1700195403.491001,"[377.7973278093248, 1149.2536779699772, 63.28082749074178]"
1700195403.541104,"[377.79732769309305, 1149.253661435114, 63.28070256278001]"
1700195403.5859826,"[377.79732683588776, 1149.2536416728017, 63.279761183285125]"
1700195403.6412783,"[377.7973254502246, 1149.2536308601636, 63.279828956981945]"
1700195403.691062,"[377.7973217139648, 1149.25361735962, 63.27997139532187]"
1700195403.741219,"[377.7973206236288, 1149.2536081172793, 63.2806908722074]"
1700195403.7861729,"[377.7973249546491, 1149.2536041878786, 63.28089546991942]"
1700195403.8564217,"[377.7973828241999, 1149.2536099943218, 63.28041294157994]"
1700195403.8963766,"[377.7974180355562, 1149.2536159873928, 63.27941787329644]"
1700195403.9360073,"[377.7974448728831, 1149.2536168458703, 63.27907093269393]"
1700195403.9861426,"[377.7974786579136, 1149.25361260444, 63.27949093051835]"
1700195404.0412822,"[377.7974932177558, 1149.253613840071, 63.279223871674006]"
1700195404.0859323,"[377.79750517434763, 1149.2536201618918, 63.279378990075124]"
1700195404.1463141,"[377.7975235428162, 1149.2536354186236, 63.27871009613743]"
1700195404.1860814,"[377.7975402581609, 1149.25365830919, 63.27881644713241]"
1700195404.2362785,"[377.79755235805453, 1149.2536767368847, 63.27957773994008]"
1700195404.2860436,"[377.79757479187873, 1149.2537148871786, 63.27896468977455]"
1700195404.3412647,"[377.79759459560694, 1149.2537458976683, 63.27938415150709]"
1700195404.3860667,"[377.7976224333222, 1149.2537904575388, 63.27901371004487]"
1700195404.4365945,"[377.7976352040867, 1149.2538165479916, 63.278683463743185]"
1700195404.4862502,"[377.7976476636636, 1149.2538363671702, 63.278926039918375]"
1700195404.5366383,"[377.797667044808, 1149.2538665430434, 63.27878846357501]"
1700195404.5861294,"[377.79770117322744, 1149.2539021939222, 63.2783110857683]"
1700195404.636113,"[377.7977132150036, 1149.2539166834636, 63.27824189656063]"
1700195404.6915479,"[377.797781201932, 1149.2539768826905, 63.27853066907836]"
1700195404.7363536,"[377.7978178116964, 1149.2540137395467, 63.27835600382513]"
1700195404.7864723,"[377.7978338543644, 1149.2540268149048, 63.27816094924634]"
1700195404.8360615,"[377.7978336354769, 1149.254016779261, 63.278140752917324]"
1700195404.8861458,"[377.7978288152992, 1149.2540162699843, 63.2778985520023]"
1700195404.936231,"[377.7978237312645, 1149.2540152485417, 63.27790502901949]"
1700195404.9861424,"[377.79783698154677, 1149.254012393238, 63.277146425112036]"
1700195405.041278,"[377.79785917719954, 1149.254019511262, 63.27755144091658]"
1700195405.0861924,"[377.79787383606697, 1149.2540271976263, 63.27741490658182]"
1700195405.1361196,"[377.7978920987412, 1149.2540346623584, 63.277310294497426]"
1700195405.19166,"[377.7979299106928, 1149.2540444513015, 63.2773427613933]"
1700195405.2415206,"[377.7979585833344, 1149.2540503394046, 63.27696997750371]"
1700195405.2967927,"[377.7980099892592, 1149.254060919196, 63.27777041618517]"
1700195405.341802,"[377.798069540471, 1149.2540660527757, 63.277616204181925]"
1700195405.386298,"[377.798109983245, 1149.2540720593452, 63.27764933355603]"
1700195405.4362743,"[377.79814674119353, 1149.2540747815156, 63.27730298585948]"
1700195405.4863076,"[377.7982038864946, 1149.2540729351801, 63.277302744432575]"
1700195405.536206,"[377.798243019576, 1149.254073315652, 63.27710180484209]"
1700195405.5866933,"[377.79829487052166, 1149.2540794869808, 63.27719089789471]"
1700195405.6360795,"[377.7983472357623, 1149.2540879159078, 63.2774130322086]"
1700195405.6968157,"[377.7983836618167, 1149.2540941982109, 63.27774684664066]"
1700195405.7362528,"[377.79841883699055, 1149.2541006735464, 63.277972101331606]"
1700195405.7914433,"[377.79843520742486, 1149.254102428509, 63.278368251567876]"
1700195405.851822,"[377.79837232066666, 1149.2540522406955, 63.27877931851479]"
1700195405.9070284,"[377.7983591319631, 1149.254033464635, 63.27915741510449]"
1700195405.9416485,"[377.7983494465233, 1149.2540186304354, 63.278707752415855]"
1700195405.9861407,"[377.7983247596084, 1149.2539896089856, 63.27885131402897]"
1700195406.0471814,"[377.7983075320122, 1149.2539741768196, 63.27915234769473]"
1700195406.0861347,"[377.7982766361315, 1149.2539557585146, 63.27901025538888]"
1700195406.136179,"[377.79824847138275, 1149.253941168131, 63.27928448160297]"
1700195406.1861746,"[377.7982070990693, 1149.253926045447, 63.27912521100393]"
1700195406.2413528,"[377.7981866148521, 1149.2539245820892, 63.279477656577306]"
1700195406.2862132,"[377.79816722550663, 1149.2539304637937, 63.27940572010208]"
1700195406.3365948,"[377.79815587704775, 1149.2539427103904, 63.279655477174714]"
1700195406.3915935,"[377.79813355874, 1149.2539656939277, 63.28021673241875]"
1700195406.4418068,"[377.7981187562616, 1149.2539869696748, 63.28052146357053]"
1700195406.4916844,"[377.7980903252786, 1149.2540264266922, 63.281225631570635]"
1700195406.5415947,"[377.7980661479112, 1149.254057152339, 63.28083527893231]"
1700195406.59136,"[377.7980350274655, 1149.254109893174, 63.2810699607616]"
1700195406.6364818,"[377.79802417948724, 1149.2541435033718, 63.28126432277371]"
1700195406.6863585,"[377.7980062841233, 1149.2541979927344, 63.28146419705287]"
1700195406.7361498,"[377.79799223074957, 1149.2542327075655, 63.2820357539682]"
1700195406.7861927,"[377.7979804655839, 1149.2542391230663, 63.281652901798694]"
1700195406.8415513,"[377.79796382463053, 1149.2542283257537, 63.28144280215828]"
1700195406.891546,"[377.7979416558099, 1149.2542321377434, 63.28147253893309]"
1700195406.9362042,"[377.7979163959565, 1149.254238281686, 63.28096672096516]"
1700195406.991455,"[377.7978663145766, 1149.2542536766755, 63.28102821772242]"
1700195407.0414376,"[377.7978397582282, 1149.2542721568389, 63.28129395724581]"
1700195407.086177,"[377.79781373672364, 1149.2543044775732, 63.281447285945326]"
1700195407.1361496,"[377.7978052348887, 1149.2543274560937, 63.281697863762915]"
1700195407.191879,"[377.7977936145987, 1149.2543729358345, 63.28117271195211]"
1700195407.2361636,"[377.7977912956749, 1149.2544352553273, 63.280908985700556]"
1700195407.2862937,"[377.7977941382727, 1149.2544839849681, 63.28105391975785]"
1700195407.3415794,"[377.79780110094254, 1149.2545374479012, 63.28021422375268]"
1700195407.386311,"[377.79781710582466, 1149.2546279380078, 63.27995990817267]"
1700195407.4364564,"[377.7978334807269, 1149.254695496142, 63.279752096885545]"
