timestamp,data,timestamps
1700198871.916102,"[378.45599186786075, 1150.190192757375, 62.79170539083829]"
1700198871.9659073,"[378.4558802081684, 1150.1901822613681, 62.79115278077301]"
1700198872.0209827,"[378.4558290623813, 1150.1901630035163, 62.79136510659225]"
1700198872.06603,"[378.45578298654743, 1150.1901205470258, 62.791552940134004]"
1700198872.1161048,"[378.45576236392844, 1150.1900851396092, 62.7918949807662]"
1700198872.165952,"[378.45574554422694, 1150.190030005006, 62.79203996545897]"
1700198872.2158232,"[378.45575454508196, 1150.1899961586462, 62.79142720863588]"
1700198872.265833,"[378.4557730192153, 1150.1899548392676, 62.79229725036067]"
1700198872.3157535,"[378.4557619374591, 1150.1899256378615, 62.79277350465769]"
1700198872.3658905,"[378.45570703841065, 1150.1898750785263, 62.79269085830952]"
1700198872.4159245,"[378.4556603794801, 1150.1898439904387, 62.7931068352737]"
1700198872.4924304,"[378.45562413318976, 1150.1898153773427, 62.79275461481198]"
1700198872.5159404,"[378.4555885886864, 1150.1897871706747, 62.79240330563937]"
1700198872.5661707,"[378.45556528434986, 1150.1897358122383, 62.792728495209914]"
1700198872.6270888,"[378.4555548668421, 1150.189692757004, 62.792659389402104]"
1700198872.6659691,"[378.45552733376246, 1150.1896568607074, 62.79279602723541]"
1700198872.716198,"[378.45549081216734, 1150.189617229474, 62.793004957180734]"
1700198872.7660196,"[378.4554115165914, 1150.1895622351558, 62.793764877115294]"
1700198872.8160129,"[378.45536153378083, 1150.1895327953143, 62.79384203160872]"
1700198872.8661985,"[378.45530723053207, 1150.189501718711, 62.7939930851538]"
1700198872.9213343,"[378.4552783849452, 1150.18947333887, 62.793420072977206]"
1700198872.971121,"[378.45523902185863, 1150.1894116774026, 62.793805077575314]"
1700198873.0212362,"[378.45520542924754, 1150.1893599969167, 62.79414496631454]"
1700198873.0663557,"[378.455141959392, 1150.1892778673675, 62.793795779438845]"
1700198873.1319194,"[378.4550845474755, 1150.1892292025343, 62.793521569926185]"
1700198873.1661947,"[378.45498649028406, 1150.1891666873094, 62.79322933381299]"
1700198873.2161386,"[378.4549376054539, 1150.1891306441266, 62.79262165497639]"
1700198873.2767282,"[378.4548931713777, 1150.1890773176463, 62.79271852180973]"
1700198873.3162901,"[378.4548749489437, 1150.1890302074055, 62.7931189673762]"
1700198873.3663921,"[378.45484824614175, 1150.1889478451862, 62.79323754756477]"
1700198873.416662,"[378.4548282292136, 1150.1888892895374, 62.79308591895804]"
1700198873.4828026,"[378.4547996962092, 1150.1888334071598, 62.79289141370058]"
1700198873.5216348,"[378.4547867980843, 1150.1888338754602, 62.79292266940684]"
1700198873.5660155,"[378.454790752976, 1150.1888909024433, 62.792169215334255]"
1700198873.6160283,"[378.45479451802225, 1150.1889143715791, 62.792089328061806]"
1700198873.6715229,"[378.4548164359245, 1150.1889272907626, 62.79165386759506]"
1700198873.721748,"[378.4548449621443, 1150.1889244468464, 62.791351087004514]"
1700198873.7712066,"[378.45489188277793, 1150.1889116069015, 62.791877750474654]"
1700198873.8213966,"[378.45492840940886, 1150.188887269379, 62.79232232955795]"
1700198873.866172,"[378.45494507848855, 1150.188876977759, 62.79249267077884]"
1700198873.9160612,"[378.4549607652795, 1150.1888675810915, 62.79245571553374]"
1700198873.9659674,"[378.4549804962959, 1150.1888584040817, 62.793228678549724]"
1700198874.016017,"[378.45499019677135, 1150.1888383754763, 62.7932716937349]"
1700198874.0660582,"[378.4550042052955, 1150.1887871712784, 62.793355937302465]"
1700198874.1160412,"[378.45502108890264, 1150.1887417512821, 62.79329562549981]"
1700198874.166108,"[378.4550742047245, 1150.1886752535102, 62.79353755558756]"
1700198874.2272458,"[378.45511269628736, 1150.1886316423834, 62.793533794828136]"
1700198874.266321,"[378.45515820177326, 1150.1885656902436, 62.793485633593974]"
1700198874.3161423,"[378.4551792138129, 1150.1885194257102, 62.792783451878535]"
1700198874.3661232,"[378.4552099593011, 1150.1884372877284, 62.792682046082646]"
1700198874.4265592,"[378.4552355076918, 1150.1883302435563, 62.79303227763141]"
1700198874.4659426,"[378.4552452378848, 1150.1882937547057, 62.79291951981593]"
1700198874.5215468,"[378.4552304183247, 1150.188291093191, 62.79284729634618]"
1700198874.5714614,"[378.45518034975373, 1150.1883173774208, 62.7930074071799]"
1700198874.637752,"[378.4551637573397, 1150.1883273925935, 62.79322538770439]"
1700198874.6713588,"[378.45512869037873, 1150.1883287990063, 62.79352130769835]"
1700198874.7163095,"[378.4550947521802, 1150.1883289824364, 62.79338565757804]"
1700198874.7663052,"[378.45502080025466, 1150.1883269338337, 62.79320158212509]"
1700198874.8165758,"[378.45497039895156, 1150.188324054313, 62.79330552849272]"
1700198874.8661618,"[378.4549044717886, 1150.188310793159, 62.792576519114476]"
1700198874.9269853,"[378.454866458837, 1150.188305488813, 62.79323472303894]"
1700198874.971247,"[378.454802057452, 1150.1882977528423, 62.79260977036784]"
1700198875.0162487,"[378.45473906802704, 1150.1882668481246, 62.791766632109315]"
1700198875.066225,"[378.4546963262179, 1150.1882414738568, 62.792428314930106]"
1700198875.1217792,"[378.4546552142756, 1150.1882175395476, 62.791998897543294]"
1700198875.1661246,"[378.4545941070787, 1150.188198513281, 62.79184514661907]"
1700198875.221477,"[378.4545545479603, 1150.1881877663882, 62.792209318637816]"
1700198875.287792,"[378.45450808891235, 1150.1881693466141, 62.79177677697085]"
1700198875.3162768,"[378.4544845643835, 1150.188157039379, 62.791785870935584]"
1700198875.3712444,"[378.45445615445215, 1150.1881330519636, 62.7925360062552]"
1700198875.4161322,"[378.45444597349126, 1150.188092632854, 62.79299544471726]"
1700198875.4663212,"[378.4544383604615, 1150.188084771906, 62.7927482841898]"
1700198875.5212827,"[378.45444348430675, 1150.1881244285696, 62.79275030438782]"
1700198875.5713472,"[378.4545671008522, 1150.188182826686, 62.79356642643934]"
1700198875.6163669,"[378.45471316758176, 1150.1881671403703, 62.79519293182369]"
1700198875.6661308,"[378.454781243655, 1150.1881858480465, 62.78448243391298]"
1700198875.716543,"[378.45455230387586, 1150.1883369269096, 62.75594744085087]"
1700198875.7661762,"[378.4542597368275, 1150.1885850974995, 62.7174054216989]"
1700198875.8267534,"[378.4544925550291, 1150.188587919748, 62.72327781378995]"
1700198875.8716736,"[378.45519198397335, 1150.1884665437074, 62.76348979425063]"
1700198875.916307,"[378.4553078575669, 1150.1885516447285, 62.77726985256208]"
1700198875.9662602,"[378.4546722072603, 1150.189083850234, 62.75455528516983]"
1700198876.0164015,"[378.4541720351024, 1150.189894538262, 62.725164285826736]"
1700198876.0766425,"[378.45478568500596, 1150.1908909205836, 62.727803147999616]"
1700198876.127813,"[378.45769755895583, 1150.194516853358, 62.75498429971408]"
1700198876.1716206,"[378.4608788644673, 1150.1993192376424, 62.7642651008005]"
1700198876.2163959,"[378.46733522373023, 1150.2114286122746, 62.74293642339668]"
1700198876.2713077,"[378.47293848693954, 1150.2230972159189, 62.704261590341574]"
1700198876.3216195,"[378.48398763682695, 1150.2458636567749, 62.63621997961239]"
1700198876.3663037,"[378.4935052334314, 1150.2644279148851, 62.59811622872513]"
1700198876.4218822,"[378.51115276451975, 1150.2973486102812, 62.550915020999994]"
1700198876.4665852,"[378.51786321597893, 1150.3097212630687, 62.53275054859413]"
1700198876.5163367,"[378.53234509120875, 1150.3366010177756, 62.48641877416465]"
1700198876.5663033,"[378.5654846097116, 1150.3994166900109, 62.344464458711016]"
1700198876.62148,"[378.59445419458075, 1150.454547231947, 62.212034266015635]"
1700198876.6876454,"[378.6160078882869, 1150.4949449384608, 62.12567605787219]"
1700198876.7215598,"[378.6393821937714, 1150.5381396879172, 62.04425784215009]"
1700198876.7663445,"[378.6775931469428, 1150.6080422769223, 61.92391010951468]"
1700198876.8217218,"[378.71915525190946, 1150.6840760608216, 61.78914817713987]"
1700198876.8663502,"[378.74857433732603, 1150.7380568844578, 61.68817081691891]"
1700198876.9164362,"[378.7953079126908, 1150.8236181133798, 61.52807915564143]"
1700198876.9667552,"[378.82823670963967, 1150.8834223220142, 61.42089911998505]"
1700198877.016497,"[378.88022109981694, 1150.9770746584422, 61.26223943564712]"
1700198877.066397,"[378.9165063870463, 1151.0422137506043, 61.15595331298273]"
1700198877.116277,"[378.973351881181, 1151.1440549598594, 60.99714917761539]"
1700198877.171589,"[379.01290958988665, 1151.2145916416014, 60.89748129873634]"
1700198877.2217984,"[379.0748333303376, 1151.3240247016001, 60.754587035387374]"
1700198877.2718658,"[379.1177350776069, 1151.3992462221922, 60.65805222830513]"
1700198877.321865,"[379.18421197196136, 1151.5153569699146, 60.50539865995418]"
1700198877.3667867,"[379.22985862560375, 1151.594940751244, 60.40189279035701]"
1700198877.426974,"[379.30042601944956, 1151.717483885234, 60.25771709915792]"
1700198877.4663439,"[379.3245385491146, 1151.7591352432187, 60.215763423635536]"
1700198877.5215793,"[379.37364250343387, 1151.843595940447, 60.13886342096169]"
1700198877.5666003,"[379.475306502359, 1152.0172655677754, 60.00597968214822]"
1700198877.61634,"[379.55429979443153, 1152.151904345421, 59.912564447264955]"
1700198877.6667988,"[379.60825147540004, 1152.2437792126082, 59.85976535215181]"
1700198877.7163963,"[379.69129993988906, 1152.384689021971, 59.807306829520805]"
1700198877.7664237,"[379.74817826883384, 1152.4807579041026, 59.791934998636926]"
1700198877.8164768,"[379.8356237161214, 1152.628225078508, 59.79076003152724]"
1700198877.8666527,"[379.89520587233864, 1152.7288565848141, 59.79966469656493]"
1700198877.916785,"[379.98637811899897, 1152.8833532148913, 59.815244437430216]"
