timestamp,data,timestamps
1700544537.32553,"[536.9736605422186, 1778.1670062872697, -89.6155800777781]"
1700544537.3810751,"[536.9736383781268, 1778.1669622600157, -89.61526271757197]"
1700544537.4155605,"[536.9736180880889, 1778.1669177554286, -89.61508178576159]"
1700544537.4758682,"[536.9735940766936, 1778.1668386665747, -89.61490684500131]"
1700544537.5153031,"[536.9735768374424, 1778.166744506938, -89.61472595377242]"
1700544537.5703752,"[536.9735639961399, 1778.166675498292, -89.61525330696219]"
1700544537.6202042,"[536.9735519203156, 1778.1666098801145, -89.61562727927301]"
1700544537.6650524,"[536.9735362387245, 1778.1665128141499, -89.615924461914]"
1700544537.7153141,"[536.9735354353592, 1778.1664445760528, -89.61602853941739]"
1700544537.7856832,"[536.9735414901082, 1778.166368610758, -89.61565551861125]"
1700544537.815494,"[536.9735749752479, 1778.1662491488728, -89.61591039298617]"
1700544537.8652692,"[536.9735749752479, 1778.1662491488728, -89.61591039298617]"
1700544537.9156113,"[536.9735497093518, 1778.1663052390436, -89.61548193873597]"
1700544537.9703586,"[536.9735188081991, 1778.1663713915177, -89.61519382154532]"
1700544538.0155113,"[536.973490552113, 1778.1664104998763, -89.61481491044378]"
1700544538.075535,"[536.9734288583156, 1778.1664696577227, -89.61452154014165]"
1700544538.1154654,"[536.9733848624503, 1778.1665191177653, -89.6150770890963]"
1700544538.1758554,"[536.9733350374693, 1778.166599251366, -89.61713379348211]"
1700544538.215304,"[536.9733151788283, 1778.1666526381841, -89.61671483782058]"
1700544538.270315,"[536.9733187596335, 1778.166720833633, -89.61482861452018]"
1700544538.3154716,"[536.9733531548511, 1778.166766652923, -89.61484915187097]"
1700544538.3757637,"[536.9734471657271, 1778.1668447240418, -89.6154296360915]"
1700544538.4307945,"[536.9735013635772, 1778.1669049916068, -89.61632289763537]"
1700544538.470667,"[536.9735138329686, 1778.1667166348484, -89.61754180959053]"
1700544538.5152845,"[536.9734669558379, 1778.165883342962, -89.61909957690466]"
1700544538.5652955,"[536.9733599566707, 1778.1623610750266, -89.61822847855598]"
1700544538.61559,"[536.9733180758693, 1778.1575308968825, -89.61512546513305]"
1700544538.6650257,"[536.9734211780253, 1778.1458184990354, -89.6143380726632]"
1700544538.715224,"[536.9736067119998, 1778.134857326169, -89.6180475778855]"
1700544538.7705474,"[536.9739312624076, 1778.1136348673472, -89.62678301621673]"
1700544538.8151667,"[536.9740980511115, 1778.0962591048406, -89.63106732009223]"
1700544538.8652315,"[536.9741656331778, 1778.0865883433853, -89.6320048735023]"
1700544538.920399,"[536.974459349254, 1778.0410120594224, -89.63724172786206]"
1700544538.9651792,"[536.9748080558752, 1777.999378835064, -89.65113621246383]"
1700544539.015384,"[536.9751261025554, 1777.9679260258997, -89.66320036789418]"
1700544539.0809937,"[536.9755722429296, 1777.915028170994, -89.68341265646279]"
1700544539.1153,"[536.9757856791981, 1777.8759382338349, -89.69435726279289]"
1700544539.1650527,"[536.9760760569034, 1777.811676096794, -89.7116134369738]"
1700544539.2154152,"[536.976298534159, 1777.7651410835492, -89.72590181743305]"
1700544539.270259,"[536.9765183734092, 1777.7157318548277, -89.73855629840926]"
1700544539.3205175,"[536.9767861576902, 1777.6364927004656, -89.75283233749468]"
1700544539.3653793,"[536.9769712512259, 1777.5803293500428, -89.76070227965315]"
1700544539.415641,"[536.9773181585854, 1777.4914197363769, -89.77159447223573]"
1700544539.4766927,"[536.9777224892521, 1777.3973086161313, -89.78196333013244]"
1700544539.5152807,"[536.9779915548929, 1777.3317885525505, -89.7861692048429]"
1700544539.5809026,"[536.9783459704975, 1777.229426899472, -89.79323019187129]"
1700544539.6202512,"[536.9784789797366, 1777.1585438697018, -89.79581557405379]"
1700544539.6651623,"[536.9784423859026, 1777.04831548747, -89.79634670188895]"
1700544539.7204204,"[536.9783269490199, 1776.9722741926755, -89.79507071772298]"
1700544539.7650688,"[536.9781930216915, 1776.8544973716555, -89.7926707950364]"
1700544539.8155146,"[536.9782964694874, 1776.773496673084, -89.78860800348548]"
1700544539.8651352,"[536.9784689078624, 1776.7322337122118, -89.78836519291752]"
1700544539.9315848,"[536.9796783934281, 1776.5623552184343, -89.79390912597705]"
1700544539.9978933,"[536.980551320568, 1776.4296945654105, -89.78664796133222]"
1700544540.0152736,"[536.9809164663927, 1776.338733998979, -89.77451978625012]"
1700544540.0652459,"[536.9812719036032, 1776.1983598036168, -89.75259907210477]"
1700544540.1204836,"[536.981608499659, 1776.1022926999422, -89.7411663226797]"
1700544540.1756134,"[536.982260049572, 1775.9545300579116, -89.7291244739317]"
1700544540.2155144,"[536.9826837609585, 1775.853479797384, -89.7192226952323]"
1700544540.2651193,"[536.9831717096672, 1775.6979269830535, -89.6968091267822]"
1700544540.3153296,"[536.9834477617411, 1775.5918451783946, -89.6749701928943]"
1700544540.365193,"[536.9837991689591, 1775.4294032558823, -89.64711250724349]"
