timestamp,data,timestamps
1700199873.8896127,"[1.1213585956958627, -0.015722000570819076]"
1700199873.9099863,"[1.127031737155184, -0.016127431174084543]"
1700199873.9296405,"[1.1324449311824443, -0.016338501417074245]"
1700199873.9508388,"[1.1381483987018313, -0.017369362130569943]"
1700199873.9695094,"[1.1438791065562008, -0.018194215293273672]"
1700199873.9896536,"[1.1498296351103356, -0.018367640330067735]"
1700199874.0097063,"[1.1557357343125687, -0.019848649787528205]"
1700199874.0297673,"[1.161811037411597, -0.02039618567683683]"
1700199874.050432,"[1.168076969411699, -0.021354930879271258]"
1700199874.0932987,"[1.1740280829698513, -0.021916015652082264]"
1700199874.093308,"[1.1806716341108023, -0.022315260663932898]"
1700199874.1412928,"[1.1869152715292306, -0.02213609223205403]"
1700199874.1412985,"[1.1935757265289852, -0.021543780770526707]"
1700199874.1893213,"[1.2001110882250574, -0.020819492594659934]"
1700199874.1893303,"[1.2065411289053887, -0.01962274913066136]"
1700199874.2373147,"[1.2128652996897382, -0.01874207303316271]"
1700199874.237325,"[1.2188141958802843, -0.01743883707173833]"
1700199874.2373326,"[1.2250886673321284, -0.016180357952108544]"
1700199874.2812948,"[1.2314139025517397, -0.01522477049558496]"
1700199874.2812996,"[1.2371587043181673, -0.014095445040519829]"
1700199874.289535,"[1.2436435134815502, -0.013205877850632496]"
1700199874.3099003,"[1.249355576796518, -0.013089905604570497]"
1700199874.3533354,"[1.2550021057285448, -0.013167175886620041]"
1700199874.397296,"[1.260576498693133, -0.013855669979737239]"
1700199874.4413033,"[1.2661696563191682, -0.014585898973112526]"
1700199874.4413168,"[1.2713570366309168, -0.015994840510928855]"
1700199874.4413214,"[1.2776257562357334, -0.017826371770171247]"
1700199874.4893172,"[1.2819396624696007, -0.019605000615890027]"
1700199874.489328,"[1.2872918403826945, -0.02080911690036767]"
1700199874.4893353,"[1.2926903777350855, -0.022584989641816277]"
1700199874.5373187,"[1.2970683129335119, -0.022564054141122773]"
1700199874.53733,"[1.3023065547294825, -0.022775413574231265]"
1700199874.5373359,"[1.3076693986298042, -0.022125458993599592]"
1700199874.5812979,"[1.3115725300002674, -0.021408644525635803]"
1700199874.581304,"[1.3160752486214002, -0.020515891201873297]"
1700199874.5896006,"[1.320741248433657, -0.01973966381958836]"
1700199874.6097105,"[1.3258138315621837, -0.019228785763979076]"
1700199874.653299,"[1.3308597076959845, -0.02041923723791227]"
1700199874.653307,"[1.3363312780366199, -0.020320965002083084]"
1700199874.697303,"[1.3414300223363025, -0.020700062805237857]"
1700199874.6973119,"[1.3470207990394407, -0.021317186742077877]"
1700199874.7453096,"[1.3526658097197173, -0.021099923849832943]"
1700199874.745318,"[1.3576951732229783, -0.020294810329670253]"
1700199874.7933414,"[1.362722477593265, -0.020155440096174992]"
1700199874.7933486,"[1.3682836481947256, -0.02012240289046757]"
1700199874.7933538,"[1.3737620958528707, -0.019864781882338232]"
1700199874.841322,"[1.3790611487694697, -0.020093364024026016]"
1700199874.8413286,"[1.3845119684405516, -0.02049781245159087]"
1700199874.8505378,"[1.389884842147585, -0.02064297000999448]"
1700199874.8695972,"[1.3941321606380122, -0.021765796556429302]"
1700199874.9132998,"[1.3992758722689687, -0.02224146223869767]"
1700199874.9133096,"[1.4037695202904956, -0.02242889690504371]"
1700199874.95732,"[1.4073482793578702, -0.02270339384865657]"
1700199874.9573247,"[1.4116495752673628, -0.02202288910844676]"
1700199875.0013475,"[1.4148955812964725, -0.0214584588546238]"
1700199875.0013554,"[1.4192568532174525, -0.01955073814276301]"
1700199875.0453022,"[1.4237755558469296, -0.020117962550703306]"
1700199875.0453067,"[1.428357962551497, -0.01956668933637707]"
1700199875.0892973,"[1.4329928805363772, -0.018454106856401604]"
1700199875.089306,"[1.4373365933274522, -0.019011628911187486]"
1700199875.1333022,"[1.4421455018351799, -0.019404283754086312]"
1700199875.1333106,"[1.4469926513419171, -0.02029790519897006]"
1700199875.133322,"[1.4504930128365203, -0.020525583587908403]"
1700199875.1773062,"[1.4544779464481283, -0.0219682181532717]"
1700199875.1773117,"[1.4583879504001833, -0.022375898701458643]"
1700199875.1897938,"[1.4613398687263501, -0.023634025938817284]"
1700199875.2094455,"[1.4641526902433724, -0.024087319369876105]"
1700199875.2532952,"[1.4665628815273386, -0.025279432778843394]"
1700199875.253304,"[1.4694696762955188, -0.02592884082887195]"
1700199875.297295,"[1.4721056945433508, -0.026507425437362016]"
1700199875.2973027,"[1.4744541849344326, -0.025917384000021318]"
1700199875.3413055,"[1.476811092497054, -0.025536146610472762]"
1700199875.3413157,"[1.4795740450243613, -0.024339681574348654]"
1700199875.3893175,"[1.4810337104774471, -0.02374025574988488]"
1700199875.415394,"[1.482712018253724, -0.02285356648214246]"
1700199875.4572988,"[1.4841986548287336, -0.021730183909158637]"
1700199875.4573076,"[1.4851159375662095, -0.02161237909749875]"
1700199875.4573174,"[1.4852714183807685, -0.019877677436454234]"
1700199875.4573243,"[1.4855702435784677, -0.019776006095676816]"
1700199875.505293,"[1.4843814610945063, -0.0187703578976167]"
1700199875.505302,"[1.4835363106460235, -0.01798050290881595]"
1700199875.509537,"[1.482394313712827, -0.018717276724507317]"
1700199875.5293958,"[1.4808590401471244, -0.018476555918248413]"
1700199875.5733044,"[1.4788620621184594, -0.019341417716043727]"
1700199875.5733137,"[1.4758401739942968, -0.01848497283985844]"
1700199875.6212976,"[1.4722846288033418, -0.018288483995741577]"
1700199875.621308,"[1.4679020656665356, -0.01646785891020849]"
1700199875.6653,"[1.4631103241828594, -0.014961761485072686]"
1700199875.665309,"[1.4580740546368722, -0.012771079935600857]"
1700199875.7092936,"[1.452611391936263, -0.011653029613834092]"
1700199875.7093024,"[1.4465158489812702, -0.011213016106311926]"
1700199875.7573133,"[1.4399958041258825, -0.010520812157912684]"
1700199875.7573175,"[1.432116284044818, -0.010999827670966071]"
1700199875.7573254,"[1.4243963583242398, -0.0121037786961702]"
1700199875.8053033,"[1.4162825033634014, -0.01326948456022684]"
1700199875.8053088,"[1.4073150913869552, -0.014390795541862657]"
1700199875.8097093,"[1.3980686160840998, -0.015589415529197716]"
1700199875.8294666,"[1.3881512234697504, -0.016521068097547765]"
1700199875.8733034,"[1.377881345084592, -0.017128519848883302]"
1700199875.873311,"[1.3678381456183617, -0.01794893549811069]"
1700199875.921306,"[1.3580467018313087, -0.017372595420611404]"
1700199875.9213157,"[1.3476683124458677, -0.017762004583794785]"
1700199875.969298,"[1.3377360330970602, -0.016430741789036297]"
1700199875.9693038,"[1.3275226107123907, -0.016184754686556654]"
1700199876.0132961,"[1.3171397754235912, -0.015003991777145903]"
1700199876.0133042,"[1.30666628981841, -0.01407770208722942]"
1700199876.0133078,"[1.2968884746170086, -0.0138887857775551]"
1700199876.0573044,"[1.2861538164644821, -0.012760300419277542]"
1700199876.057309,"[1.2752359496919397, -0.011795698582981667]"
1700199876.0694828,"[1.2654762609059438, -0.011031999310878804]"
1700199876.0894656,"[1.2551484468824037, -0.009802007183107203]"
1700199876.1333365,"[1.2468534215281737, -0.010234733800556435]"
1700199876.133344,"[1.23920517346911, -0.009802198310852932]"
1700199876.181302,"[1.2317934797954837, -0.011789138269848985]"
1700199876.181307,"[1.227587413109154, -0.013573148845785537]"
1700199876.2253337,"[1.2249507112070213, -0.01696016970726341]"
1700199876.225341,"[1.2226399680424402, -0.018524619054619513]"
1700199876.2693026,"[1.2224619582434273, -0.020867205004431573]"
1700199876.2693121,"[1.222426954526854, -0.02130281525867784]"
1700199876.3133316,"[1.2234515323111124, -0.020363426430694356]"
1700199876.3133376,"[1.2242192070975484, -0.01943711990295279]"
1700199876.3133404,"[1.226278837757849, -0.017971234642376783]"
1700199876.3573055,"[1.2279471446542287, -0.016107840156475456]"
1700199876.3573108,"[1.2297818757800427, -0.014795726132833236]"
1700199876.4146698,"[1.232168916922128, -0.013765422224133834]"
1700199876.4228954,"[1.23468523069063, -0.013357137869467177]"
1700199876.4652944,"[1.237705526224534, -0.013196043548139049]"
1700199876.465304,"[1.2411333215957152, -0.013128923655192078]"
1700199876.4653087,"[1.245365333624189, -0.014213518731595015]"
1700199876.5093067,"[1.2505006581411837, -0.015142050283814636]"
1700199876.509311,"[1.2553629161785447, -0.015831421845956484]"
1700199876.5094461,"[1.2607699448504597, -0.016392089695811362]"
1700199876.5294557,"[1.2667347502595907, -0.01639968092658467]"
1700199876.5732915,"[1.2728850717119027, -0.015769612439735833]"
1700199876.5733001,"[1.27957677166495, -0.01477493630663539]"
1700199876.6212976,"[1.2858035224652935, -0.013214271725529652]"
1700199876.6213038,"[1.2924560479296274, -0.011085168426668667]"
1700199876.6653073,"[1.2985453067108603, -0.009532601631445608]"
1700199876.6653259,"[1.3045846378615493, -0.008284470341078395]"
1700199876.7092934,"[1.3106932496043833, -0.008226137378630026]"
1700199876.7093027,"[1.3163217160573042, -0.00798803643075378]"
1700199876.7533307,"[1.3226997367050108, -0.009396148299625677]"
1700199876.7533371,"[1.328110076030754, -0.010699359201019767]"
1700199876.7533526,"[1.3335437089904083, -0.012479485672476202]"
1700199876.7972956,"[1.3392854615253103, -0.014467638782661336]"
1700199876.7973008,"[1.3442089332503764, -0.01585446899392676]"
1700199876.8093648,"[1.349422897120592, -0.016189221761780913]"
1700199876.8294039,"[1.3544907098105738, -0.01671302228223515]"
1700199876.8733087,"[1.3595305849835102, -0.015888605250615993]"
1700199876.8733163,"[1.3637403242040032, -0.0148892532180752]"
1700199876.9212945,"[1.3682571195789117, -0.013512607156139065]"
1700199876.9213023,"[1.3726621265837404, -0.012273954141804034]"
1700199876.9653242,"[1.376387498589713, -0.011187685376587939]"
1700199876.965334,"[1.3801942438044439, -0.01054055951167575]"
1700199877.0093374,"[1.383004604890483, -0.010216315985955534]"
1700199877.0093472,"[1.3854619692859562, -0.011498323252132793]"
1700199877.0533247,"[1.387513442731651, -0.012459790019502218]"
1700199877.0533352,"[1.3886768622647765, -0.014509367264078093]"
1700199877.0533385,"[1.3896470357524926, -0.015215643026964184]"
1700199877.1012979,"[1.3890097416666223, -0.01639162741102812]"
1700199877.101303,"[1.38774815089575, -0.01662233529469584]"
1700199877.1094306,"[1.384550805917139, -0.016841675109891898]"
1700199877.1294782,"[1.3809738029021879, -0.0148273198038387]"
1700199877.1733375,"[1.3762975500278922, -0.014293563016001612]"
1700199877.1733458,"[1.3703973811649106, -0.012155419823054632]"
1700199877.221297,"[1.3655198432575975, -0.009293543543960782]"
1700199877.2213058,"[1.3590597069612163, -0.007192429846291254]"
1700199877.269305,"[1.3521835499559753, -0.005071024448611465]"
1700199877.2693138,"[1.3451847899195026, -0.0033174124110982284]"
1700199877.313326,"[1.3374344312262445, -0.0029954831317129905]"
1700199877.3133352,"[1.3294667553970703, -0.0038829280673158832]"
1700199877.31334,"[1.3209933153348283, -0.00496871369120811]"
1700199877.3612943,"[1.312383159930861, -0.007128947218942332]"
1700199877.361302,"[1.30354294476805, -0.009473923431412321]"
1700199877.415584,"[1.293838980279715, -0.011682723610823726]"
1700199877.42404,"[1.2845735014604789, -0.014481697892928963]"
1700199877.4653077,"[1.2741047939171506, -0.016305633194764402]"
1700199877.4653165,"[1.2639460727713434, -0.016215585551483044]"
1700199877.4653215,"[1.2532554975496388, -0.016479707678024622]"
1700199877.513296,"[1.241667587063087, -0.015253672284628879]"
1700199877.5133018,"[1.2301725138856585, -0.013598979379867598]"
1700199877.5133085,"[1.2180788315847622, -0.012210309200833897]"
1700199877.5612977,"[1.2056648504066663, -0.009615437842812503]"
1700199877.561303,"[1.192495703771043, -0.008346981194756476]"
1700199877.5696163,"[1.1799887606280288, -0.006200198473673212]"
1700199877.58936,"[1.1668012005652364, -0.005825493359796745]"
1700199877.6333025,"[1.1540244800552404, -0.004999823760260991]"
1700199877.6333072,"[1.1411464484527938, -0.005435759740241912]"
1700199877.6813004,"[1.1279435561775932, -0.005970249824787277]"
1700199877.6813104,"[1.114334941951201, -0.006614764537556669]"
1700199877.7293732,"[1.1003278159020888, -0.007285419991226161]"
1700199877.729379,"[1.0862098953574773, -0.007833508125422347]"
1700199877.729392,"[1.0713622954080921, -0.007823733077990499]"
1700199877.7773235,"[1.0562436336421575, -0.007836275154591954]"
1700199877.7773337,"[1.040909557559173, -0.0071519589500064215]"
1700199877.7893486,"[1.0246795244864748, -0.007081895244471046]"
1700199877.8093817,"[1.008794477714288, -0.006498681783940096]"
1700199877.8573122,"[0.9921768101126948, -0.006049731927438198]"
1700199877.8573196,"[0.9757989966456975, -0.006264624606821822]"
1700199877.9053252,"[0.9593876207494755, -0.006223525581922159]"
1700199877.905335,"[0.9431139720655869, -0.00700634244629537]"
1700199877.9533105,"[0.9265350032452208, -0.007502514524765123]"
1700199877.9533207,"[0.9101666599206851, -0.0076333189364896125]"
1700199877.9533322,"[0.8937272586492355, -0.007856130036567398]"
1700199878.0013106,"[0.8776817291389731, -0.00793621928180943]"
1700199878.001317,"[0.8610019289069127, -0.007944601664324383]"
1700199878.00918,"[0.8450724697371402, -0.0074300204800714425]"
1700199878.02944,"[0.8290118460572288, -0.0065306575363900474]"
1700199878.0732963,"[0.8131702038671565, -0.005238341226100674]"
1700199878.0733016,"[0.7980414186096164, -0.004297624507151784]"
1700199878.1212928,"[0.7834298608403659, -0.0035410942345966098]"
1700199878.1213014,"[0.7702643494014483, -0.002093959552945115]"
1700199878.1653435,"[0.7576790183247744, -0.0008567764925581057]"
1700199878.1653514,"[0.7477528430888969, 0.00010420028224445189]"
1700199878.2093525,"[0.7394568097746113, 0.0006322672319020664]"
1700199878.2093596,"[0.732095880030674, 0.0005210918524104467]"
1700199878.209373,"[0.7253242127813468, 5.5401223354478535e-05]"
1700199878.2572944,"[0.7214037949284606, -0.0006338207150574416]"
1700199878.2573023,"[0.7180706523481423, -0.0016892779165375723]"
1700199878.269339,"[0.7156262914702074, -0.0023391766724406675]"
1700199878.2895174,"[0.715058245644989, -0.0033736026110454133]"
1700199878.3333716,"[0.7157643629464391, -0.0039138150285920595]"
1700199878.3333802,"[0.7166281846173822, -0.004786784110003899]"
1700199878.3773077,"[0.7188535632505385, -0.005185089357701463]"
