timestamp,data,timestamps
1700197287.2366657,"[378.16031266741095, 1149.1588855304392, 62.483196870182496]"
1700197287.289785,"[378.16027043151587, 1149.158957090736, 62.48308062172577]"
1700197287.3366148,"[378.16024284368547, 1149.1590116598531, 62.483183408153266]"
1700197287.3869407,"[378.16021357306033, 1149.1590996411906, 62.48333140266114]"
1700197287.4395807,"[378.1601848773511, 1149.1591500768195, 62.48326105440957]"
1700197287.4867043,"[378.1601645844029, 1149.1592530268028, 62.48290587902757]"
1700197287.5376146,"[378.16014542273996, 1149.1593216720653, 62.48288648282074]"
1700197287.589614,"[378.160136451425, 1149.1593920778412, 62.4835449258726]"
1700197287.6400673,"[378.16013240439213, 1149.1594232818907, 62.48338992846811]"
1700197287.6867707,"[378.16021995383244, 1149.1593291657123, 62.48299618517348]"
1700197287.7373345,"[378.1602688065055, 1149.159284295684, 62.48243729955404]"
1700197287.7867746,"[378.16034893688806, 1149.159206927552, 62.482126431517024]"
1700197287.836828,"[378.1604041578374, 1149.15917284143, 62.4822726410688]"
1700197287.8867161,"[378.16047594613786, 1149.159186151466, 62.48266079190582]"
1700197287.9368947,"[378.16056117168995, 1149.159312849732, 62.48270899791875]"
1700197287.9866974,"[378.16105386672746, 1149.1601605727528, 62.48254272947096]"
1700197288.037099,"[378.1619609988551, 1149.1617588152649, 62.48059733495265]"
1700197288.0894568,"[378.1649791162844, 1149.1671610381509, 62.48132651999557]"
1700197288.1366942,"[378.1684336891822, 1149.1734724908645, 62.482268946974166]"
1700197288.1873286,"[378.1761883869083, 1149.187924583945, 62.47950337823849]"
1700197288.2395294,"[378.18314600134187, 1149.2010762378682, 62.47483656659518]"
1700197288.2874095,"[378.1963460572256, 1149.2261029088177, 62.46392302158805]"
1700197288.3369422,"[378.2070293007301, 1149.2462862201269, 62.45634513216664]"
1700197288.390388,"[378.22591101575637, 1149.281834897637, 62.4461230320457]"
1700197288.4607034,"[378.2403981157767, 1149.3090646956084, 62.438345742287886]"
1700197288.4890416,"[378.2650248387853, 1149.3553828331083, 62.424235839582735]"
1700197288.5366921,"[378.28339950031597, 1149.3899994798344, 62.412537630165524]"
1700197288.5901911,"[378.30332070350573, 1149.4276050782976, 62.39814473721982]"
1700197288.638935,"[378.31385761692763, 1149.4475280711295, 62.38969435725189]"
1700197288.6866732,"[378.3722001619154, 1149.5579346587303, 62.34526480443581]"
1700197288.7382991,"[378.3981028640762, 1149.6068205581812, 62.32857174740422]"
1700197288.789528,"[378.439551772737, 1149.6848454069832, 62.30470747558322]"
1700197288.8368025,"[378.4688606417623, 1149.7398542824658, 62.28974335113552]"
1700197288.8868408,"[378.51513820882377, 1149.8265944186123, 62.264906933689794]"
1700197288.9368947,"[378.5474463414352, 1149.887132242802, 62.24665547621826]"
1700197288.9866345,"[378.5980458281866, 1149.9818115714738, 62.223113132093715]"
1700197289.039448,"[378.63320858644863, 1150.0474743242949, 62.212554752391846]"
1700197289.0867019,"[378.6880347489737, 1150.1498525852294, 62.19708522572055]"
