timestamp,data,timestamps
1700541337.9576912,"[0.39698333246773343, -0.29520252189920165]"
1700541337.9647417,"[-0.6140885232226622, 0.2787716372120329]"
1700541337.9748218,"[-0.4121266340882913, 0.2132087556979641]"
1700541337.9859734,"[0.05729564055141978, -0.05176213019976799]"
1700541337.9965715,"[-0.1040549339965511, 0.37553040578444896]"
1700541338.0054896,"[0.14746988700179825, -0.5144336931431361]"
1700541338.0149107,"[-0.09069922610797662, -0.30856114510775945]"
1700541338.0233264,"[0.22563435534866444, 0.05380573401717643]"
1700541338.0358994,"[0.5389310402308248, -0.035889319563987346]"
1700541338.0453572,"[-0.2863095462204344, 0.37905139241927055]"
1700541338.0550427,"[-0.386765818702382, -0.06739881067269883]"
1700541338.0659978,"[-0.2894525777114164, 0.2575968368292864]"
1700541338.076698,"[1.0415640703869906, -0.7406074391183243]"
1700541338.0847526,"[0.27430919692596445, -0.331767298558468]"
1700541338.0948417,"[-0.5185947193149297, 0.6781441782144664]"
1700541338.1059806,"[-0.4651238731814523, 0.3629428573047128]"
1700541338.116574,"[-0.32414106070632637, -1.0292786618386203]"
1700541338.1255348,"[0.4005703990701852, 0.6371669884956741]"
1700541338.1363063,"[0.40264421042639814, 0.4572988304926785]"
1700541338.14569,"[-0.13958446566882898, 0.07466718305224297]"
1700541338.1573067,"[-0.2888703210613664, -0.4228501140359695]"
1700541338.1654842,"[0.28619863771498844, 0.34555907719292756]"
1700541338.1749012,"[0.46771052616765363, 0.6971151594000483]"
1700541338.1859624,"[-0.3584925701005068, 0.018647211051003903]"
1700541338.1967382,"[-0.15865107613325, 0.13839316822809938]"
1700541338.2048929,"[0.03002039654744156, -0.5279999626491216]"
1700541338.214923,"[-0.2965691691817419, -0.4421775594462354]"
1700541338.2260034,"[0.18016192323629088, 0.292111670210277]"
1700541338.2371655,"[0.19974070495405902, -0.34000200094826655]"
1700541338.2467964,"[-0.48441333838897116, -0.09880613601671014]"
1700541338.2550056,"[0.5554669354332209, -0.5037107769083232]"
1700541338.2633116,"[0.12976652908707487, 0.3121201544945426]"
1700541338.2767148,"[-0.2477591616744616, 0.4437834394682295]"
1700541338.2844,"[0.2565394666209602, 0.8986467001863379]"
1700541338.2948945,"[0.19757619715796673, -0.13522053044289944]"
1700541338.3059187,"[0.024443356855963657, -0.532234404844159]"
1700541338.3177233,"[0.09785572769769524, 0.0382916943465125]"
1700541338.3245478,"[-0.0029055239381992034, 0.059421193119597766]"
1700541338.3361657,"[-0.6844956899455276, -0.07680150860703022]"
1700541338.348941,"[0.013805617577609008, 0.24029163476335783]"
1700541338.3574257,"[-0.16332038281661973, 0.10722040911050924]"
1700541338.3651817,"[0.1416644009616028, -0.22769545245404998]"
1700541338.3750267,"[0.3437965401559142, 0.1421492316035344]"
1700541338.3833659,"[-0.013763593919859343, 0.07816168181373735]"
1700541338.396612,"[-0.47550129201811386, -0.18344322008655498]"
1700541338.4053662,"[0.2102668942773143, -0.23402591039014053]"
1700541338.4149659,"[0.17609026404422592, 0.48281378702673045]"
1700541338.4259584,"[-0.1135719579058141, 0.1392411597859331]"
1700541338.4359386,"[0.2294242011308745, -0.5003908841594058]"
1700541338.4453864,"[0.5442630985394462, 0.2500218474269417]"
1700541338.4549377,"[-0.20982485062054965, -0.48480612914810906]"
