2021-11-01 17:48:27.521,write _MAP (88913)
2021-11-01 17:48:27.886,write _SPaT (6606)
2021-11-01 17:48:27.903,write _SPaT (6606)
2021-11-01 17:48:28.019,write _SPaT (6606)
2021-11-01 17:48:28.058,write _RTCM (992)
2021-11-01 17:48:28.236,write _SPaT (6606)
2021-11-01 17:48:28.446,write _SPaT (6606)
2021-11-01 17:48:28.655,write _MAP (88913)
2021-11-01 17:48:28.656,write _SPaT (6606)
2021-11-01 17:48:28.664,write _TIM (2063)
2021-11-01 17:48:28.818,write _SPaT (6606)
2021-11-01 17:48:29.014,write _SPaT (6606)
2021-11-01 17:48:29.189,write _RTCM (992)
2021-11-01 17:48:29.249,write _SPaT (6606)
2021-11-01 17:48:29.613,write _MAP (88913)
2021-11-01 17:48:29.614,write _SPaT (6606)
2021-11-01 17:48:29.648,write _SPaT (6602)
2021-11-01 17:48:29.648,write _TIM (2063)
2021-11-01 17:48:29.859,write _SPaT (6602)
2021-11-01 17:48:30.064,write _RTCM (992)
2021-11-01 17:48:30.108,write _SPaT (6602)
2021-11-01 17:48:30.305,write _SPaT (6602)
2021-11-01 17:48:30.444,write _MAP (88913)
2021-11-01 17:48:30.477,write _SPaT (6602)
2021-11-01 17:48:30.487,write _TIM (2063)
2021-11-01 17:48:30.898,write _SPaT (6602)
2021-11-01 17:48:30.913,write _SPaT (6602)
2021-11-01 17:48:31.051,write _RTCM (1052)
2021-11-01 17:48:31.105,write _SPaT (6602)
2021-11-01 17:48:31.315,write _SPaT (6602)
2021-11-01 17:48:31.426,write _MAP (88913)
2021-11-01 17:48:31.507,write _SPaT (6602)
2021-11-01 17:48:31.538,write _TIM (2063)
2021-11-01 17:48:31.664,write _SPaT (6602)
2021-11-01 17:48:31.859,write _SPaT (6602)
2021-11-01 17:48:32.061,write _RTCM (992)
2021-11-01 17:48:32.111,write _SPaT (6602)
2021-11-01 17:48:32.489,write _SPaT (6602)
2021-11-01 17:48:32.516,write _MAP (88913)
2021-11-01 17:48:32.520,write _SPaT (6602)
2021-11-01 17:48:32.527,write _TIM (2063)
2021-11-01 17:48:32.665,write _SPaT (6602)
2021-11-01 17:48:32.865,write _SPaT (6602)
2021-11-01 17:48:33.057,write _RTCM (992)
2021-11-01 17:48:33.099,write _SPaT (6602)
2021-11-01 17:48:33.361,write _SPaT (6602)
2021-11-01 17:48:33.482,write _SPaT (6602)
2021-11-01 17:48:33.514,write _MAP (88913)
2021-11-01 17:48:33.674,write _SPaT (6602)
2021-11-01 17:48:33.876,write _SPaT (6602)
2021-11-01 17:48:34.062,write _RTCM (992)
2021-11-01 17:48:34.219,write _SPaT (6602)
2021-11-01 17:48:34.324,write _SPaT (6602)
2021-11-01 17:48:34.732,write _MAP (88913)
2021-11-01 17:48:34.732,write _TIM (2062)
2021-11-01 17:48:34.733,write _SPaT (6602)
2021-11-01 17:48:34.750,write _RSA (576)
2021-11-01 17:48:34.751,write _SPaT (6602)
2021-11-01 17:48:34.760,write _RSA (576)
2021-11-01 17:48:34.760,write _RSA (576)
2021-11-01 17:48:34.916,write _SPaT (6602)
2021-11-01 17:48:35.051,write _RTCM (242)
2021-11-01 17:48:35.390,write _MAP (29930)
2021-11-01 17:48:35.586,write _SPaT (1904)
2021-11-01 17:48:35.748,write _SPaT (1904)
2021-11-01 17:48:35.953,write _SPaT (1904)
2021-11-01 17:48:36.045,write _RTCM (1182)
2021-11-01 17:48:36.174,write _SPaT (1904)
2021-11-01 17:48:36.360,write _SPaT (1904)
2021-11-01 17:48:36.647,write _MAP (29930)
2021-11-01 17:48:36.647,write _SPaT (1904)
2021-11-01 17:48:36.758,write _SPaT (1904)
2021-11-01 17:48:36.987,write _SPaT (1904)
2021-11-01 17:48:37.057,write _RTCM (992)
2021-11-01 17:48:37.308,write _SPaT (1904)
2021-11-01 17:48:37.390,write _SPaT (1904)
2021-11-01 17:48:37.544,write _MAP (29930)
2021-11-01 17:48:37.826,write _SPaT (1904)
2021-11-01 17:48:37.864,write _SPaT (1904)
2021-11-01 17:48:38.000,write _SPaT (1904)
2021-11-01 17:48:38.245,write _RTCM (992)
2021-11-01 17:48:38.245,write _SPaT (1904)
2021-11-01 17:48:38.530,write _MAP (29930)
2021-11-01 17:48:38.539,write _SPaT (1904)
2021-11-01 17:48:38.605,write _SPaT (1904)
2021-11-01 17:48:38.781,write _SPaT (1904)
2021-11-01 17:48:38.984,write _SPaT (1904)
2021-11-01 17:48:39.204,write _RTCM (992)
2021-11-01 17:48:39.440,write _SPaT (1904)
2021-11-01 17:48:39.515,write _MAP (29930)
2021-11-01 17:48:39.516,write _SPaT (1904)
2021-11-01 17:48:39.605,write _SPaT (1904)
2021-11-01 17:48:39.844,write _SPaT (1904)
2021-11-01 17:48:39.995,write _SPaT (1904)
2021-11-01 17:48:40.051,write _RTCM (992)
2021-11-01 17:48:40.250,write _SPaT (1904)
2021-11-01 17:48:40.484,write _SPaT (1904)
2021-11-01 17:48:40.485,write _MAP (29930)
2021-11-01 17:48:40.599,write _SPaT (1904)
2021-11-01 17:48:40.821,write _SPaT (1904)
2021-11-01 17:48:41.006,write _SPaT (1904)
2021-11-01 17:48:41.039,write _RTCM (1052)
2021-11-01 17:48:41.264,write _SPaT (1904)
2021-11-01 17:48:41.442,write _SPaT (1904)
2021-11-01 17:48:41.443,write _MAP (29930)
2021-11-01 17:48:41.664,write _SPaT (1904)
2021-11-01 17:48:41.831,write _SPaT (1904)
2021-11-01 17:48:42.082,write _RTCM (992)
2021-11-01 17:48:42.082,write _SPaT (1904)
2021-11-01 17:48:42.294,write _SPaT (1904)
2021-11-01 17:48:42.406,write _MAP (29930)
2021-11-01 17:48:42.469,write _SPaT (1904)
2021-11-01 17:48:42.638,write _SPaT (1904)
2021-11-01 17:48:42.839,write _SPaT (1904)
2021-11-01 17:48:43.044,write _RTCM (992)
2021-11-01 17:48:43.049,write _SPaT (1904)
2021-11-01 17:48:43.276,write _SPaT (1904)
2021-11-01 17:48:43.683,write _MAP (29930)
2021-11-01 17:48:43.683,write _SPaT (1904)
2021-11-01 17:48:43.683,write _SPaT (1904)
2021-11-01 17:48:43.845,write _SPaT (1904)
2021-11-01 17:48:44.041,write _RTCM (992)
2021-11-01 17:48:44.092,write _SPaT (1904)
2021-11-01 17:48:44.259,write _SPaT (1904)
2021-11-01 17:48:44.642,write _MAP (29930)
2021-11-01 17:48:44.654,write _SPaT (1904)
2021-11-01 17:48:44.654,write _SPaT (1904)
2021-11-01 17:48:44.864,write _SPaT (1904)
2021-11-01 17:48:45.040,write _RTCM (242)
2021-11-01 17:48:45.054,write _SPaT (1904)
2021-11-01 17:48:45.362,write _SPaT (1904)
2021-11-01 17:48:45.500,write _MAP (29930)
2021-11-01 17:48:45.501,write _SPaT (1904)
2021-11-01 17:48:45.655,write _SPaT (1904)
2021-11-01 17:48:45.880,write _SPaT (1904)
2021-11-01 17:48:46.046,write _RTCM (1182)
2021-11-01 17:48:46.087,write _SPaT (1904)
2021-11-01 17:48:46.271,write _SPaT (1904)
2021-11-01 17:48:46.561,write _MAP (29930)
2021-11-01 17:48:46.583,write _SPaT (1904)
2021-11-01 17:48:46.700,write _SPaT (1904)
